OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Leng_1,Shape_Le_12,rid,RCA_area,h2oAreaKm2,RCA_poly_h2oAreaKm2
1,1,1,1,1,0,1,main,active, ,Y,12,EB, , ,675,487.690776950999975,1124.630080550000002,Widest part right above the point,136.000000000000000,18.000000000000000,12,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,224.475540255999988,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
2,1,2,1,2,0,2,side,active,very close to road,M,2,EB, , ,676,231.458039436999996,436.745242797999992, ,66.000000000000000,29.000000000000000,2,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,209.912852245000010,3528.698036310000134,3528.698036310000134,4438,3.039806142180000,110.328478153999995,110.328478153698001
3,1,3,1,3,0,3,side,active, ,Y,3,EB, , ,677,274.997980562000009,650.000000000000000, ,85.000000000000000,8.000000000000000,3,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,211.821976756999987,3528.698036310000134,3528.698036310000134,4438,3.039806142180000,110.328478153999995,110.328478153698001
4,1,4,1,4,0,4,main,active, ,Y,6,EB, , ,678,227.026321916000001,372.000000000000000, ,95.000000000000000,4.000000000000000,6,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,262.710446268999988,1764.268424670000059,1764.268424670000059,4493,3.646298794910000,29.043665419500002,29.043665419476799
5,1,5,1,5,0,5,main,active,same complex as 5,M,8,EB, , ,680,37.179544618100003,23.800000000000001,same complex as 5,14.100000000000000,2.000000000000000,8,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,330.903385132999972,2201.677607470000112,2201.677607470000112,4483,7.184082142320000,7.184082142320000,7.184082142319950
6,1,6,1,6,0,6,main,active,same complex as 6,M,7,EB, , ,679,23.362355227599998,14.500000000000000,same complex as 6,15.199999999999999,1.900000000000000,7,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,330.253766008000014,2201.677607470000112,2201.677607470000112,4483,7.184082142320000,7.184082142320000,7.184082142319950
7,1,7,1,7,0,7,side,active, ,M,9,EB, , ,681,30.262083115700001,44.500000000000000,same complex as 8,12.000000000000000,5.000000000000000,9,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,219.542146201000008,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
8,1,8,1,8,0,8,side,active,same complex as 7,M,10,EB, , ,682,31.852630925300002,23.000000000000000,same complex as 7,12.779999999999999,2.000000000000000,10,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,219.440239601000002,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
9,1,9,1,9,0,9,side,active, ,Y,11,EB, , ,683,92.162295485100003,96.000000000000000, ,38.000000000000000,3.000000000000000,11,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,221.017974619999990,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
10,1,10,1,10,0,10,side,active, ,M,14,EB, , ,684,123.113452898999995,246.000000000000000, ,43.000000000000000,19.000000000000000,14,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,224.038267496000003,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
11,1,11,1,11,0,11,side,active, ,Y,15,EB, , ,685,112.170390624999996,171.000000000000000, ,41.000000000000000,7.000000000000000,15,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,226.525036564000004,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
12,1,12,1,12,0,12,main,active, ,Y,17,EB, , ,686,218.226691993999992,335.000000000000000, ,80.000000000000000,5.000000000000000,17,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,233.914452189000002,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
13,1,13,1,13,0,13,main,active, ,Y,18,EB, , ,694,134.032651152000000,277.000000000000000, ,62.000000000000000,7.000000000000000,18,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,234.154528851000009,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
14,1,14,1,14,0,14,main,active, ,M,21,EB, , ,687,52.642675081999997,76.000000000000000, ,23.000000000000000,4.000000000000000,21,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,254.061809694999994,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
15,1,15,1,15,0,15,main,active, ,Y,22,EB, , ,688,134.616845928999993,202.000000000000000, ,57.000000000000000,3.000000000000000,22,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,254.170704803000007,4723.011997159999737,4723.011997159999737,4532,8.274116683400001,62.235846814299997,62.235846814334899
16,1,16,1,16,0,16,side,active,1a EB,Y,1,EB, , ,689,172.134877073000013,346.000000000000000, ,76.000000000000000,6.000000000000000,1,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,204.248719670000014,3528.698036310000134,3528.698036310000134,4438,3.039806142180000,110.328478153999995,110.328478153698001
17,1,17,1,17,0,17,side,active,4a EB,Y,4,EB, , ,690,74.571048189500004,130.000000000000000, ,29.000000000000000,6.000000000000000,4,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,212.894190960999993,3528.698036310000134,3528.698036310000134,4438,3.039806142180000,110.328478153999995,110.328478153698001
