OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,ID,DOWN_ID,CHAN_ID,LENGTH_M_1,AREA_SQKM,ELEV_M,OUT_DIST,SRC_DIST,FROM_DIST,GRADIENT,MNANPRC_M,MEANANNCMS,WIDTH_M_1,DEPTH_M,MAX_GRAD_D,LAKE,STRM_ORDER,AZIMTH_DEG,SINUOSITY,VAL_WIDTH,FP_WIDTH,DROPMAX,Fish,Basin_ID,VWI_Floor,ValCnstrnt,FlowVel,BFQ,StrmPow,BeavHab,FISH_RESID,GEP_Cum,GEP,IP_CHIN2,CCon,MERGE_SRC,uID
1,1,1,1,1,0,1,main,active, ,Y,12,EB, , ,675,487.690776950999975,1124.630080550000002,Widest part right above the point,136.000000000000000,18.000000000000000,12,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,224.475540255999988,11933.000000000000000,11932.000000000000000,8.000000000000000,106.568500000000000,60.331299999999999,222.796300000000002,199.313109999999995,14.638680000000001,4.531800000000000,0.001900000000000,0.453800000000000,0.360000000000000,2.335200000000000,0.103300000000000,0.044000000000000,0.000000000000000,3.000000000000000,146.9600067,1.193900000000000,85.125699999999995,27.479099999999999,1.818400000000000,1,5090603,36.4500008,11.766999999999999,0.3071000,0.074000000000000,1.379000000000000,1,1,0.212000000000000,0.167800000000000,0.518100000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11933
2,1,2,1,2,0,2,side,active,very close to road,M,2,EB, , ,676,231.458039436999996,436.745242797999992, ,66.000000000000000,29.000000000000000,2,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,209.912852245000010,11906.000000000000000,11905.000000000000000,8.000000000000000,105.710700000000003,105.307699999999997,207.914700000000011,196.632059999999996,17.319720000000000,1.850760000000000,0.001100000000000,0.445800000000000,0.635700000000000,3.099000000000000,0.121200000000000,0.044000000000000,0.000000000000000,4.000000000000000,164.1900024,1.110800000000000,14.871100000000000,46.793900000000001,1.818400000000000,1,5090603,4.8000002,15.099000000000000,0.2613000,0.098000000000000,1.058000000000000,1,1,0.208300000000000,0.122900000000000,0.600900000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11906
3,1,3,1,3,0,3,side,active, ,Y,3,EB, , ,677,274.997980562000009,650.000000000000000, ,85.000000000000000,8.000000000000000,3,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,211.821976756999987,11914.000000000000000,11913.000000000000000,8.000000000000000,111.568500000000000,104.442300000000003,212.158999999999992,197.422529999999995,16.529250000000001,2.641230000000000,0.006100000000000,0.446300000000000,0.631000000000000,3.087600000000000,0.121000000000000,0.044000000000000,0.000000000000000,4.000000000000000,25.3299999,1.548500000000000,3.903000000000000,28.534900000000000,1.818400000000000,1,5090603,1.2600000,9.242000000000001,0.6145000,0.230000000000000,13.724000000000000,1,1,0.208500000000000,0.068500000000000,0.601000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11914
4,1,4,1,4,0,4,main,active, ,Y,6,EB, , ,678,227.026321916000001,372.000000000000000, ,95.000000000000000,4.000000000000000,6,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,262.710446268999988,12370.000000000000000,12369.000000000000000,27.000000000000000,120.710700000000003,24.064200000000000,262.135699999999986,201.742369999999994,5.867530000000000,3.432370000000000,0.043800000000000,0.454600000000000,0.135000000000000,1.433300000000000,0.078300000000000,0.044000000000000,0.000000000000000,3.000000000000000,70.6800003,1.062200000000000,59.185099999999998,96.039699999999996,1.818400000000000,1,5090603,41.2900009,67.006000000000000,1.2128000,0.136000000000000,58.423999999999999,0,1,0.206800000000000,0.194000000000000,0.123000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT12370
5,1,5,1,5,0,5,main,active,same complex as 5,M,8,EB, , ,680,37.179544618100003,23.800000000000001,same complex as 5,14.100000000000000,2.000000000000000,8,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,330.903385132999972,12514.000000000000000,12513.000000000000000,205.000000000000000,102.781700000000001,4.291400000000000,326.971799999999973,203.693399999999997,2.144130000000000,1.088590000000000,0.058800000000000,0.454200000000000,0.021400000000000,0.573000000000000,0.046500000000000,0.059000000000000,0.000000000000000,2.000000000000000,55.9900017,1.013600000000000,5.375200000000000,27.733300000000000,1.818400000000000,1,5090603,9.3800001,48.420000000000002,0.9660000,0.026000000000000,14.832000000000001,0,1,0.230700000000000,0.229600000000000,0.064300000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT12514
6,1,6,1,6,0,6,main,active,same complex as 6,M,7,EB, , ,679,23.362355227599998,14.500000000000000,same complex as 6,15.199999999999999,1.900000000000000,7,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,330.253766008000014,12514.000000000000000,12513.000000000000000,205.000000000000000,102.781700000000001,4.291400000000000,326.971799999999973,203.693399999999997,2.144130000000000,1.088590000000000,0.058800000000000,0.454200000000000,0.021400000000000,0.573000000000000,0.046500000000000,0.059000000000000,0.000000000000000,2.000000000000000,55.9900017,1.013600000000000,5.375200000000000,27.733300000000000,1.818400000000000,1,5090603,9.3800001,48.420000000000002,0.9660000,0.026000000000000,14.832000000000001,0,1,0.230700000000000,0.229600000000000,0.064300000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT12514
7,1,7,1,7,0,7,side,active, ,M,9,EB, , ,681,30.262083115700001,44.500000000000000,same complex as 8,12.000000000000000,5.000000000000000,9,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,219.542146201000008,11928.000000000000000,11927.000000000000000,8.000000000000000,103.639600000000002,60.984999999999999,218.655300000000011,198.818639999999988,15.133150000000001,4.037340000000000,0.005800000000000,0.453000000000000,0.363200000000000,2.345600000000000,0.103500000000000,0.044000000000000,0.000000000000000,3.000000000000000,240.5700073,1.144100000000000,35.626899999999999,21.166599999999999,1.818400000000000,1,5090603,15.1899996,9.023999999999999,0.5373000,0.130000000000000,7.414000000000000,1,1,0.211500000000000,0.077200000000000,0.538000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11928
8,1,8,1,8,0,8,side,active,same complex as 7,M,10,EB, , ,682,31.852630925300002,23.000000000000000,same complex as 7,12.779999999999999,2.000000000000000,10,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,219.440239601000002,11928.000000000000000,11927.000000000000000,8.000000000000000,103.639600000000002,60.984999999999999,218.655300000000011,198.818639999999988,15.133150000000001,4.037340000000000,0.005800000000000,0.453000000000000,0.363200000000000,2.345600000000000,0.103500000000000,0.044000000000000,0.000000000000000,3.000000000000000,240.5700073,1.144100000000000,35.626899999999999,21.166599999999999,1.818400000000000,1,5090603,15.1899996,9.023999999999999,0.5373000,0.130000000000000,7.414000000000000,1,1,0.211500000000000,0.077200000000000,0.538000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11928
9,1,9,1,9,0,9,side,active, ,Y,11,EB, , ,683,92.162295485100003,96.000000000000000, ,38.000000000000000,3.000000000000000,11,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,221.017974619999990,11930.000000000000000,11929.000000000000000,8.000000000000000,116.568500000000000,60.924100000000003,220.621000000000009,199.016099999999994,14.935689999999999,4.234800000000000,0.025700000000000,0.453300000000000,0.362200000000000,2.342300000000000,0.103400000000000,0.044000000000000,0.000000000000000,3.000000000000000,165.9299927,1.168400000000000,19.094999999999999,40.260599999999997,1.818400000000000,1,5090603,8.1499996,17.190000000000001,1.1303000,0.274000000000000,68.947000000000003,1,1,0.211600000000000,0.190100000000000,0.356300000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11930
10,1,10,1,10,0,10,side,active, ,M,14,EB, , ,684,123.113452898999995,246.000000000000000, ,43.000000000000000,19.000000000000000,14,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,224.038267496000003,11934.000000000000000,11933.000000000000000,8.000000000000000,106.213200000000001,60.307600000000001,223.309599999999989,199.413180000000011,14.538600000000001,4.631880000000000,0.007000000000000,0.453900000000000,0.359900000000000,2.334900000000000,0.103200000000000,0.044000000000000,0.000000000000000,3.000000000000000,184.8300018,1.010100000000000,153.438299999999998,31.038200000000000,1.818400000000000,1,5090603,65.7200012,13.292999999999999,0.5891000,0.142000000000000,9.738000000000000,1,1,0.212100000000000,0.213800000000000,0.531500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11934
