OID_,Join_Count,TARGET_FID,Shape_Leng,Shape_Le_1,rid,RCA_area,h2oAreaKm2,RCA_poly_h2oAreaKm2,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng_1,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_12,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length
1,,,324.580406255000014,324.580406255000014,1,1.460506473740000,1.460506473740000,1.460506473744820,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.580406257503284
2,,,6474.867396440000448,6474.867396440000448,2,11.418487415100000,253.168014398999986,253.168014399453000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6474.867396435258343
3,,,347.688001428999996,347.688001428999996,3,0.059725361971200,254.688246235000008,254.688246235169004,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.688001433780755
4,,,2695.886238470000080,2695.886238470000080,4,2.323827460310000,2.323827460310000,2.323827460312070,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695.886238465500810
5,,,413.930376648999982,413.930376648999982,5,0.262420445477000,257.274494140999991,257.274494140957984,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.930376648616289
6,,,1991.442677060000051,1991.442677060000051,6,1.866248232700000,1.866248232700000,1.866248232700720,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991.442677044787388
7,,,3954.758149279999998,3954.758149279999998,7,2.473230909080000,225.831839322999997,225.831839323480011,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3954.758149277560733
8,,,2055.491119620000063,2055.491119620000063,8,3.293308968740000,15.917687660900000,15.917687660921800,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.491119625417014
9,,,4779.464974430000439,4779.464974430000439,9,7.861726672600000,222.170977015000005,222.170977015191994,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4779.464974413402160
10,,,596.889110018999986,596.889110018999986,10,1.187631399210000,1.187631399210000,1.187631399212000,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.889110025659988
11,,,2228.123984970000038,2228.123984970000038,11,3.103937518700000,198.213590081999996,198.213590082443005,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228.123984958880555
12,,,5457.016060859999925,5457.016060859999925,12,9.275128030659999,16.095660260100001,16.095660260148701,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457.016060862228187
13,,,7053.499438159999954,7053.499438159999954,13,15.293769305800000,34.476916339399999,34.476916339371797,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7053.499438165619722
14,,,551.817983508999987,551.817983508999987,14,0.266667120762000,160.632736224000013,160.632736224371996,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.817983504435688
15,,,1197.826751029999969,1197.826751029999969,15,2.154212282090000,2.154212282090000,2.154212282093940,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.826751034806421
