OID_,rca_id,uRCA,uRCA_int,Shape_Length,Shape_Area,Area_km2_RCA
1,1.000000000000000,1,1,5768.281246561839907,1460506.473744975402951,1.460506473744975
2,2.000000000000000,2,2,23661.170876601208874,11418487.415052399039268,11.418487415052399
3,3.000000000000000,3,3,1042.318461513153352,59725.361970847130578,0.059725361970847
4,4.000000000000000,4,4,8409.590718328578077,2323827.460312063805759,2.323827460312064
5,5.000000000000000,5,5,2700.453759032972357,262420.445477243221831,0.262420445477243
6,6.000000000000000,6,6,6468.684760226248727,1866248.232699865242466,1.866248232699865
7,7.000000000000000,7,7,7652.696421058330088,2473230.909074229653925,2.473230909074230
8,8.000000000000000,8,8,8720.775197988097716,3293308.968742753844708,3.293308968742754
9,9.000000000000000,9,9,15942.612699772511405,7861726.672601549886167,7.861726672601550
10,10.000000000000000,10,10,5081.914460828807933,1187631.399212412303314,1.187631399212412
11,11.000000000000000,11,11,8933.403401824294633,3103937.518696904648095,3.103937518696905
12,12.000000000000000,12,12,16660.174697391150403,9275128.030663192272186,9.275128030663192
13,13.000000000000000,13,13,20388.014743944317161,15293769.305794378742576,15.293769305794379
14,14.000000000000000,14,14,2879.817108172243024,266667.120763162325602,0.266667120763162
15,15.000000000000000,15,15,6997.656268928592908,2154212.282094777561724,2.154212282094778
16,16.000000000000000,16,16,9946.775227982026991,3234254.069823151454329,3.234254069823152
17,17.000000000000000,17,17,6962.490593012884347,1726389.728868184378371,1.726389728868184
18,18.000000000000000,18,18,7808.147682912677737,3288511.381521117873490,3.288511381521118
19,19.000000000000000,19,19,12375.357625491533327,5842321.852655606344342,5.842321852655607
20,20.000000000000000,20,20,7115.998255645470635,3214535.471740868408233,3.214535471740868
21,21.000000000000000,21,21,9286.216317156089644,4394942.110051114112139,4.394942110051114
22,22.000000000000000,22,22,9183.169038240170266,3544467.311075247824192,3.544467311075248
23,23.000000000000000,23,23,9224.521468026519869,4395290.341606752946973,4.395290341606753
24,24.000000000000000,24,24,10865.705372114662168,4675870.199973320588470,4.675870199973320
25,25.000000000000000,25,25,8349.245412202148145,3413459.393825300503522,3.413459393825300
26,26.000000000000000,26,26,18.854587652607137,17.098484606781092,0.000017098484607
27,26.000000000000000,26,26,9361.183023589961522,4444662.602824986912310,4.444662602824986
28,27.000000000000000,27,27,6358.610384261719446,2321605.506891738623381,2.321605506891739
29,28.000000000000000,28,28,13576.616055015112579,6441730.866587848402560,6.441730866587848
30,29.000000000000000,29,29,6531.388891474361117,1465117.031844764715061,1.465117031844765
31,30.000000000000000,30,30,115.841693058748831,787.719499962331611,0.000787719499962
32,31.000000000000000,31,31,3406.340802740493018,512739.835931271722075,0.512739835931272
33,32.000000000000000,32,32,13587.032502795240362,8485037.186434509232640,8.485037186434509
34,33.000000000000000,33,33,7377.542138920066463,2777719.858138076029718,2.777719858138076
35,34.000000000000000,34,34,4068.896096357540046,713375.743292776518501,0.713375743292777
36,35.000000000000000,35,35,3938.990965405074348,762415.497397238505073,0.762415497397238
37,36.000000000000000,36,36,24463.159277540609764,21089623.621006000787020,21.089623621006002
38,37.000000000000000,37,37,7116.150163598831568,1515026.116745261708274,1.515026116745262
39,38.000000000000000,38,38,5873.564315717258069,1556046.518800318706781,1.556046518800319
40,39.000000000000000,39,39,8684.863553191178653,2914334.826343865599483,2.914334826343866
41,40.000000000000000,40,40,4117.457562551887349,746454.830637295031920,0.746454830637295
42,41.000000000000000,41,41,10600.078180829232224,3648116.144987810403109,3.648116144987811
43,42.000000000000000,42,42,15384.120462466449681,9167679.935145037248731,9.167679935145037
44,43.000000000000000,43,43,9589.186840026537539,3760305.587979715317488,3.760305587979715
45,44.000000000000000,44,44,6611.712120007221529,2485132.137320362962782,2.485132137320363
46,45.000000000000000,45,45,15354.564477264349989,9931729.693263851106167,9.931729693263851
47,46.000000000000000,46,46,8619.787481543877220,3837636.684153513051569,3.837636684153513
48,47.000000000000000,47,47,5434.821283314347966,1480389.979955120012164,1.480389979955120
49,48.000000000000000,48,48,19043.910415077294601,14516627.773334370926023,14.516627773334370
50,49.000000000000000,49,49,7244.769701287725184,2017831.306635539513081,2.017831306635539
51,50.000000000000000,50,50,15768.771175935284191,10090084.281989129260182,10.090084281989130
52,51.000000000000000,51,51,18.854587646387778,17.098484595421379,0.000017098484595
53,51.000000000000000,51,51,11955.895045377114002,7334245.312200377695262,7.334245312200378
54,52.000000000000000,52,52,7954.260172485305702,3592368.334116514772177,3.592368334116515
55,53.000000000000000,53,53,7218.609290402505394,3228163.895369738806039,3.228163895369739
56,54.000000000000000,54,54,12388.221069139985048,9022139.535842264071107,9.022139535842264
57,55.000000000000000,55,55,12576.113768094979605,8541635.100150663405657,8.541635100150664
58,56.000000000000000,56,56,12398.889355297214934,4318823.813950397074223,4.318823813950397
59,57.000000000000000,57,57,14057.531369084379548,9016955.102129500359297,9.016955102129501
60,58.000000000000000,58,58,5673.243616663010471,1289749.036523662507534,1.289749036523663
61,59.000000000000000,59,59,9276.105002968055487,4429398.150319592095912,4.429398150319592
62,60.000000000000000,60,60,8037.091315046523050,2455359.033363792579621,2.455359033363793
63,61.000000000000000,61,61,8558.410895881304896,3690833.741552447900176,3.690833741552448
64,62.000000000000000,62,62,2226.064320917330406,125555.550041466834955,0.125555550041467
65,63.000000000000000,63,63,43.840436224098212,84.441176255318410,0.000084441176255
66,63.000000000000000,63,63,13185.115912365450640,7175120.334974143654108,7.175120334974143
67,64.000000000000000,64,64,14385.143986186023540,9081283.869975542649627,9.081283869975543
68,65.000000000000000,65,65,20686.257723881517450,18160899.633300390094519,18.160899633300389
69,66.000000000000000,66,66,9693.901084648703545,4199842.416699657216668,4.199842416699657
70,67.000000000000000,67,67,19139.434349398659833,13606261.182764966040850,13.606261182764966
71,68.000000000000000,68,68,12138.473475796930870,5383341.725109245628119,5.383341725109245
72,69.000000000000000,69,69,11886.851524291818350,6914064.206955280154943,6.914064206955280
73,70.000000000000000,70,70,7349.953159455184505,3276432.047629435081035,3.276432047629435
74,71.000000000000000,71,71,9191.157909121626290,4001850.768768968991935,4.001850768768969
75,72.000000000000000,72,72,330.242942100380276,6076.201914464039874,0.006076201914464
76,73.000000000000000,73,73,3170.807476420600779,399456.290453067398630,0.399456290453067
77,74.000000000000000,74,74,32447.661871063537546,23934983.893153246492147,23.934983893153248
78,75.000000000000000,75,75,8509.644157280328727,3410908.466096956282854,3.410908466096956
79,76.000000000000000,76,76,7448.383292628669551,2903014.126045597251505,2.903014126045597
80,77.000000000000000,77,77,7588.335510420261926,2824859.481641999445856,2.824859481642000
81,78.000000000000000,78,78,15006.139153457788780,7392530.542688638903201,7.392530542688639
82,79.000000000000000,79,79,4031.107889119601168,679166.028385158744641,0.679166028385159
83,80.000000000000000,80,80,10016.535655214172948,4792797.964339011348784,4.792797964339012
84,81.000000000000000,81,81,10709.265077875179486,5724997.613660521805286,5.724997613660522
