OID_,uRCA_int,X,Y,SERDP_5m_DEM_Band_1,uRCA
1,74,415442.342299999669194,1601952.844799999147654,312.3999939,74
2,75,414048.579500000923872,1603138.098999999463558,313.4270935,75
3,60,417998.002199999988079,1602571.662599999457598,314.5000000,60
4,61,417727.016300000250340,1603008.587899999693036,315.1568604,61
5,66,419707.285000000149012,1602398.120200000703335,316.3170776,66
6,19,431817.399599999189377,1597983.202199999243021,329.7000122,19
7,24,433842.039999999105930,1598848.401300000026822,330.3999939,24
8,25,432540.151399999856949,1598849.671599999070168,336.8829651,25
9,34,435206.553400000557303,1599218.098999999463558,331.5212708,34
10,35,434620.086600000038743,1599683.615499999374151,334.5319824,35
11,37,436148.913300000131130,1599155.812999999150634,332.8054810,37
12,41,436796.530899999663234,1600797.193399999290705,339.7512207,41
13,48,434303.211999999359250,1602302.745600000023842,372.6302185,48
14,49,434561.127299999818206,1600589.454099999740720,337.9534302,49
15,56,428600.379799999296665,1600955.061499999836087,325.0280151,56
16,57,429618.304800000041723,1601445.211500000208616,346.9220581,57
17,64,428214.883400000631809,1602851.195699999108911,327.3513489,64
18,65,427894.880599999800324,1600925.637299999594688,322.7000122,65
19,1,442145.096999999135733,1593949.731100000441074,338.2991638,1
20,2,444270.222699999809265,1593014.614700000733137,339.7619324,2
21,3,442151.583799999207258,1594186.853700000792742,336.9534607,3
22,4,443051.203700000420213,1594381.811799999326468,338.1679382,4
23,5,442018.177100000903010,1594350.701799999922514,336.9548950,5
24,6,442306.169199999421835,1595213.229399999603629,336.7000122,6
25,7,446759.210899999365211,1594681.230399999767542,342.1723633,7
26,8,445443.364900000393391,1595574.258199999108911,350.1494141,8
27,17,444752.342299999669194,1597074.739399999380112,374.1971741,17
28,18,444697.342299999669194,1596606.023299999535084,366.8162842,18
29,20,445365.395099999383092,1597837.257500000298023,396.0437927,20
30,21,444893.354000000283122,1598430.063799999654293,403.7664185,21
31,28,440553.163699999451637,1597910.039499999955297,343.9097595,28
32,29,439515.038300000131130,1598748.867000000551343,337.0031433,29
33,30,439015.313300000503659,1598855.128000000491738,334.8271179,30
34,31,439003.511199999600649,1599234.267899999395013,334.6000061,31
35,32,443185.061699999496341,1600069.678099999204278,417.0568848,32
36,33,442232.342299999669194,1599606.320900000631809,396.9451599,33
37,36,439118.857400000095367,1596830.826400000602007,335.1813049,36
38,38,438308.549499999731779,1598738.098999999463558,334.9574280,38
39,39,438173.429199999198318,1599891.359899999573827,335.5000000,39
40,40,437203.628399999812245,1599071.003599999472499,333.7231445,40
41,42,440316.772700000554323,1600722.037100000306964,365.2707825,42
42,43,439422.342299999669194,1600531.035599999129772,349.4878540,43
43,52,446916.291200000792742,1600760.466399999335408,491.0811768,52
44,62,437047.711600000038743,1602500.591700000688434,354.8450928,62
45,69,438174.631999999284744,1603122.958799999207258,386.8225403,69
46,9,448158.490700000897050,1595819.873999999836087,347.3125610,9
47,10,447090.484999999403954,1595632.527300000190735,344.4187317,10
48,11,450504.400000000372529,1595504.059100000187755,349.7828369,11
49,12,448698.997600000351667,1598226.255999999120831,375.0780029,12
50,13,453853.646600000560284,1596724.014200000092387,368.9012451,13
51,14,450847.342299999669194,1596096.018999999389052,351.0405884,14
52,15,451482.380899999290705,1596313.137599999085069,352.8083191,15
53,16,449977.017200000584126,1597053.424100000411272,353.1411133,16
54,22,451256.929199999198318,1598946.859600000083447,359.8578796,22
55,23,450798.278100000694394,1598992.163200000301003,368.0794067,23
56,26,457085.513699999079108,1598070.984699999913573,514.8698730,26
57,27,457204.800000000745058,1599128.067600000649691,483.3073120,27
58,46,452702.349700000137091,1600393.094100000336766,364.7008972,46
59,47,451852.706000000238419,1600355.610300000756979,374.0010986,47
60,50,455866.681500000879169,1601052.517599999904633,379.9780273,50
61,51,453743.782199999317527,1601762.078800000250340,405.3103638,51
62,53,447450.482599999755621,1600740.309499999508262,479.3394775,53
63,54,450338.883199999108911,1601686.131799999624491,450.6502075,54
64,55,451988.178899999707937,1602669.981300000101328,456.8811951,55
65,44,458174.544299999251962,1599388.297700000926852,567.1072998,44
66,45,459525.089099999517202,1600103.294500000774860,638.6405640,45
67,58,458456.054800000041723,1602413.729199999943376,410.9376831,58
68,59,457651.182800000533462,1602379.258500000461936,426.3809814,59
69,70,459401.035700000822544,1602503.970100000500679,465.2347107,70
70,72,459033.823200000450015,1603051.618100000545382,418.8483887,72
71,207,381695.000000000000000,1611887.928899999707937,275.0000000,207
72,262,382453.106599999591708,1612728.106599999591708,275.8016663,262
73,264,383410.000000000000000,1612673.535499999299645,276.6842957,264
74,265,382262.981000000610948,1613322.018999999389052,280.5591431,265
75,274,384882.248700000345707,1612490.000000000000000,278.7489929,274
76,278,379868.357899999246001,1613285.000000000000000,298.4522095,278
77,163,392605.000000000000000,1607623.578600000590086,294.9660645,163
78,164,392648.357899999246001,1610000.000000000000000,288.5619507,164
79,171,395216.182700000703335,1609008.817299999296665,289.3999939,171
80,172,395017.625600000843406,1610007.374399999156594,289.1000061,172
81,173,394318.409900000318885,1610091.590099999681115,289.5166321,173
82,174,395266.087600000202656,1610738.912399999797344,290.8827209,174
83,193,391206.997500000521541,1610520.000000000000000,287.0191650,193
84,194,391327.071100000292063,1611017.928899999707937,286.3062439,194
85,199,393320.450500000268221,1610739.549499999731779,288.4574890,199
86,200,392616.035499999299645,1611045.000000000000000,287.7568665,200
87,210,388977.876900000497699,1610752.876900000497699,284.4660950,210
88,211,388830.784299999475479,1611610.000000000000000,284.8571777,211
89,214,391960.000000000000000,1611850.931500000879169,288.1495056,214
90,215,390101.087600000202656,1611763.912399999797344,285.2899475,215
91,254,386771.967000000178814,1611450.000000000000000,282.8421326,254
92,255,387654.423900000751019,1612340.000000000000000,282.8749390,255
93,272,393235.000000000000000,1613242.677699999883771,289.1992493,272
94,273,394151.109099999070168,1613013.890900000929832,290.3710327,273
95,131,396322.521600000560284,1607147.521600000560284,289.3999939,131
96,132,396781.828700000420213,1607683.171299999579787,289.3999939,132
97,238,398012.677699999883771,1611402.322300000116229,301.2286987,238
98,239,397615.177699999883771,1612065.177699999883771,291.7999878,239
99,266,396346.109099999070168,1612235.000000000000000,292.5100098,266
