OID_,uRCA_int,SOLAR_COUNT,SOLAR_MIN,SOLAR_MAX,SOLAR_RANGE,SOLAR_MEAN,SOLAR_STD,SOLAR_SUM,uRCA
1,1,1619.000000000000000,588881.375000000000000,608981.937500000000000,20100.562500000000000,600306.115773625671864,1511.309259537832986,971895601.437500000000000,1
2,2,12683.000000000000000,393808.062500000000000,689683.375000000000000,295875.312500000000000,574570.817149432259612,44788.899240061742603,7287281673.906250000000000,2
3,3,69.000000000000000,595890.562500000000000,603515.375000000000000,7624.812500000000000,600498.249094202881679,1363.922312591473656,41434379.187500000000000,3
4,4,2585.000000000000000,590792.562500000000000,611509.750000000000000,20717.187500000000000,600449.534792069578543,2666.929956248892267,1552162047.437500000000000,4
5,5,296.000000000000000,593747.875000000000000,607839.062500000000000,14091.187500000000000,600191.126689189230092,1660.395448372062447,177656573.500000000000000,5
6,6,2068.000000000000000,590160.062500000000000,646701.125000000000000,56541.062500000000000,606203.938285783398896,10762.724139500462115,1253629744.375000000000000,6
7,7,2748.000000000000000,579547.375000000000000,621360.562500000000000,41813.187500000000000,600973.683588064042851,3137.495012254135418,1651475682.500000000000000,7
8,8,3669.000000000000000,577708.000000000000000,676708.687500000000000,99000.687500000000000,618030.536402970785275,18354.504721371366031,2267554038.062500000000000,8
9,9,8727.000000000000000,394686.187500000000000,700965.500000000000000,306279.312500000000000,599026.795949352555908,40207.516535247043066,5227706848.250000000000000,9
10,10,1321.000000000000000,584035.250000000000000,667993.062500000000000,83957.812500000000000,617937.170467448886484,18478.826528533700184,816295002.187500000000000,10
11,11,3455.000000000000000,397341.593750000000000,680969.625000000000000,283628.031250000000000,577582.435627713450231,37786.005994045663101,1995547315.093750000000000,11
12,12,10303.000000000000000,323497.250000000000000,715273.812500000000000,391776.562500000000000,614343.870729399146512,61849.561864984272688,6329584900.125000000000000,12
13,13,17000.000000000000000,376398.093750000000000,735176.875000000000000,358778.781250000000000,599579.908840073505417,80222.808016916969791,10192858450.281250000000000,13
14,14,292.000000000000000,588877.125000000000000,617338.187500000000000,28461.062500000000000,601287.153467465774156,4347.446033012130101,175575848.812500000000000,14
15,15,2393.000000000000000,562745.187500000000000,713731.375000000000000,150986.187500000000000,647201.793486209819093,38503.697684138678596,1548753891.812500000000000,15
16,16,3599.000000000000000,478275.781250000000000,691194.000000000000000,212918.218750000000000,617435.913118227268569,33542.677461681800196,2222151851.312500000000000,16
17,17,1914.000000000000000,467285.031250000000000,704737.500000000000000,237452.468750000000000,627245.266294409637339,40045.301601518534881,1200547439.687500000000000,17
18,18,3646.000000000000000,460230.406250000000000,687169.000000000000000,226938.593750000000000,612832.389973601209931,42152.024445752816973,2234386893.843750000000000,18
19,19,6490.000000000000000,450032.750000000000000,720397.437500000000000,270364.687500000000000,608644.064580123289488,41709.302121471293503,3950099979.125000000000000,19
20,20,3573.000000000000000,441961.656250000000000,712477.750000000000000,270516.093750000000000,627617.312333823065273,50552.231753669671889,2242476656.968750000000000,20
21,21,4887.000000000000000,416774.812500000000000,739361.687500000000000,322586.875000000000000,634585.847708205459639,56936.767648241089773,3101221037.750000000000000,21
22,22,3939.000000000000000,397066.218750000000000,687432.250000000000000,290366.031250000000000,572706.972827811609022,53742.887549893479445,2255892765.968750000000000,22
23,23,4886.000000000000000,456865.406250000000000,731825.687500000000000,274960.281250000000000,629265.443940595607273,61522.741909147269325,3074590959.093750000000000,23
24,24,5193.000000000000000,488107.812500000000000,683076.750000000000000,194968.937500000000000,607388.499963893671520,17673.513904574050684,3154168480.312500000000000,24
25,25,3782.000000000000000,374998.156250000000000,723096.875000000000000,348098.718750000000000,621137.902325158589520,62192.206477973501023,2349143546.593750000000000,25
26,26,4940.000000000000000,363009.906250000000000,720479.562500000000000,357469.656250000000000,586974.997678390704095,88373.123188316356391,2899656488.531250000000000,26
27,27,2573.000000000000000,431823.875000000000000,716948.750000000000000,285124.875000000000000,608509.355093762162142,82429.245095894759288,1565694570.656250000000000,27
28,28,7162.000000000000000,432172.562500000000000,710929.812500000000000,278757.250000000000000,590516.075044505763799,57314.417485359830607,4229276129.468750000000000,28
29,29,1629.000000000000000,529620.812500000000000,685949.750000000000000,156328.937500000000000,615738.797268262715079,26984.772673638148262,1003038500.750000000000000,29
30,30,1.000000000000000,598638.812500000000000,598638.812500000000000,0.000000000000000,598638.812500000000000,0.000000000000000,598638.812500000000000,30
31,31,569.000000000000000,587143.875000000000000,617893.250000000000000,30749.375000000000000,600857.479789103730582,3630.776362570710262,341887906.000000000000000,31
32,32,9422.000000000000000,385972.812500000000000,752566.750000000000000,366593.937500000000000,641394.226739943725988,73330.656490896435571,6043216404.343750000000000,32
33,33,3086.000000000000000,461164.625000000000000,711740.125000000000000,250575.500000000000000,634001.659773979219608,34373.525666065317637,1956529122.062500000000000,33
34,34,795.000000000000000,585614.750000000000000,610194.187500000000000,24579.437500000000000,600967.575786163564771,2849.867518464453497,477769222.750000000000000,34
35,35,848.000000000000000,593700.187500000000000,609905.937500000000000,16205.750000000000000,601490.850088443374261,1917.807431006395063,510064240.875000000000000,35
36,36,23438.000000000000000,478812.593750000000000,711181.062500000000000,232368.468750000000000,605591.784115272224881,20975.689659120631404,14193860236.093750000000000,36
37,37,1681.000000000000000,589190.687500000000000,611038.562500000000000,21847.875000000000000,600941.537737953593023,2580.989930975198604,1010182724.937500000000000,37
38,38,1731.000000000000000,588787.437500000000000,612663.375000000000000,23875.937500000000000,599959.967107163509354,2085.054990377272588,1038530703.062500000000000,38
39,39,3230.000000000000000,523630.750000000000000,668028.250000000000000,144397.500000000000000,608052.616282894741744,17341.742379998209799,1964009950.593750000000000,39
40,40,830.000000000000000,587142.750000000000000,611054.500000000000000,23911.750000000000000,600215.564759036176838,2479.161193284768160,498178918.750000000000000,40
41,41,4052.000000000000000,596003.062500000000000,627922.625000000000000,31919.562500000000000,604330.467423494555987,3672.947504188116909,2448747054.000000000000000,41
42,42,10193.000000000000000,389873.125000000000000,744804.937500000000000,354931.812500000000000,632069.333129966631532,62539.095836172236886,6442682712.593750000000000,42
43,43,4178.000000000000000,528097.000000000000000,696550.375000000000000,168453.375000000000000,629555.179182623280212,29708.517807423948398,2630281538.625000000000000,43
44,44,2759.000000000000000,366038.000000000000000,722668.812500000000000,356630.812500000000000,568574.573271565837786,80520.702932288244483,1568697247.656250000000000,44
45,45,11046.000000000000000,382370.906250000000000,747325.875000000000000,364954.968750000000000,619398.050227457890287,87193.826609770621872,6841870862.812500000000000,45
46,46,4249.000000000000000,370725.093750000000000,699832.187500000000000,329107.093750000000000,561616.703555248328485,76620.938852361519821,2386309373.406250000000000,46
47,47,1651.000000000000000,517142.437500000000000,702226.250000000000000,185083.812500000000000,618999.545692004845478,34819.583257086138474,1021968249.937500000000000,47
48,48,16134.000000000000000,337180.437500000000000,728212.625000000000000,391032.187500000000000,606613.359169688192196,60502.125399132230086,9787099936.843750000000000,48
49,49,2240.000000000000000,501346.031250000000000,706415.125000000000000,205069.093750000000000,605670.978669084841385,25388.098138148623548,1356702992.218750000000000,49
50,50,11209.000000000000000,377288.218750000000000,739953.500000000000000,362665.281250000000000,576409.416197363752872,88805.265773696402903,6460973146.156250000000000,50
51,51,8154.000000000000000,395873.093750000000000,734569.125000000000000,338696.031250000000000,634008.441501103807241,63189.853780610523245,5169704832.000000000000000,51
52,52,3991.000000000000000,379352.312500000000000,739723.812500000000000,360371.500000000000000,659724.475483901333064,74576.298052643091069,2632960381.656250000000000,52
53,53,3588.000000000000000,443258.093750000000000,752199.625000000000000,308941.531250000000000,658745.343027104274370,70174.224255804321729,2363578290.781250000000000,53
54,54,10023.000000000000000,348885.781250000000000,756084.000000000000000,407198.218750000000000,623928.658204878796823,92590.818599479025579,6253636941.187500000000000,54
55,55,9497.000000000000000,387666.281250000000000,730158.375000000000000,342492.093750000000000,627161.611577998264693,60003.376890349602036,5956153825.156250000000000,55
56,56,4792.000000000000000,346557.875000000000000,729064.625000000000000,382506.750000000000000,564946.973171431571245,78769.201860928820679,2707225895.437500000000000,56
57,57,10015.000000000000000,334233.218750000000000,737431.875000000000000,403198.656250000000000,608538.710883674444631,84386.441374249130604,6094515189.500000000000000,57
58,58,1436.000000000000000,409577.562500000000000,711827.875000000000000,302250.312500000000000,582208.591486768797040,63000.937493905483279,836051537.375000000000000,58
59,59,4922.000000000000000,378767.843750000000000,731355.312500000000000,352587.468750000000000,628202.077826594933867,79039.619440343842143,3092010627.062500000000000,59
60,60,2737.000000000000000,581045.000000000000000,621369.500000000000000,40324.500000000000000,598679.945469492115080,4269.668167001098482,1638587010.750000000000000,60
61,61,4091.000000000000000,517566.781250000000000,696843.625000000000000,179276.843750000000000,602115.245340381283313,16543.663647114517516,2463253468.687500000000000,61
62,62,143.000000000000000,598629.687500000000000,608329.375000000000000,9699.687500000000000,603276.817307692253962,2044.235803155539088,86268584.875000000000000,62
63,63,7963.000000000000000,468461.218750000000000,734652.187500000000000,266190.968750000000000,626520.077969986130483,40463.540814984109602,4988979380.875000000000000,63
64,64,10102.000000000000000,320213.781250000000000,750858.562500000000000,430644.781250000000000,616196.064708721009083,85179.140573679309455,6224812645.687500000000000,64
65,65,20184.000000000000000,378504.625000000000000,726027.750000000000000,347523.125000000000000,595430.781688156421296,37845.144263730828243,12018174897.593750000000000,65
66,66,4660.000000000000000,590134.312500000000000,606508.687500000000000,16374.375000000000000,598787.179466201690957,661.257908874711461,2790348256.312500000000000,66
67,67,15118.000000000000000,402716.000000000000000,705055.625000000000000,302339.625000000000000,599496.061646299087442,16446.052023727512278,9063181459.968750000000000,67
68,68,5990.000000000000000,385197.812500000000000,731510.812500000000000,346313.000000000000000,622160.567070116871037,56535.251122108020354,3726741796.750000000000000,68
69,69,7673.000000000000000,394065.375000000000000,725432.625000000000000,331367.250000000000000,604963.271813501836732,68628.591403168524266,4641883184.625000000000000,69
70,70,3629.000000000000000,377277.500000000000000,674789.625000000000000,297512.125000000000000,549620.604384816717356,55857.267124150515883,1994573173.312500000000000,70
71,71,4446.000000000000000,393057.687500000000000,727773.875000000000000,334716.187500000000000,610087.799616228090599,72755.256163054786157,2712450357.093750000000000,71
72,72,7.000000000000000,596876.750000000000000,622875.812500000000000,25999.062500000000000,609937.080357142840512,7812.501361196310427,4269559.562500000000000,72
73,73,442.000000000000000,495791.062500000000000,702791.812500000000000,207000.750000000000000,633357.786623303196393,37893.575181778862316,279944141.687500000000000,73
74,74,26607.000000000000000,425859.750000000000000,722865.875000000000000,297006.125000000000000,597079.798000761074945,26352.263604147981823,15886502185.406250000000000,74
75,75,3781.000000000000000,462894.468750000000000,723145.625000000000000,260251.156250000000000,618354.269836022169329,37969.014765158739465,2337997494.250000000000000,75
76,76,3227.000000000000000,410429.312500000000000,740593.812500000000000,330164.500000000000000,635005.549155562417582,74886.471859199446044,2049162907.125000000000000,76
77,77,3141.000000000000000,508932.250000000000000,738327.375000000000000,229395.125000000000000,655803.640799108543433,43548.007820610837371,2059879235.750000000000000,77
78,78,8222.000000000000000,553498.312500000000000,697406.625000000000000,143908.312500000000000,603941.578303636633791,15414.428102061852769,4965607656.812500000000000,78
79,79,752.000000000000000,587919.250000000000000,611730.687500000000000,23811.437500000000000,598705.665890957461670,2559.736113489655054,450226660.750000000000000,79
80,80,5325.000000000000000,450632.718750000000000,714945.250000000000000,264312.531250000000000,608974.284929577494040,50531.870541080934345,3242788067.250000000000000,80
81,81,6355.000000000000000,393807.687500000000000,665029.375000000000000,271221.687500000000000,561300.372860936215147,38251.126520256191725,3567063869.531250000000000,81
82,82,608.000000000000000,530730.875000000000000,731044.312500000000000,200313.437500000000000,669025.254934210563079,55545.367263757623732,406767355.000000000000000,82
83,83,7434.000000000000000,396282.437500000000000,724139.250000000000000,327856.812500000000000,607740.977291834773496,77999.085503196853097,4517946425.187500000000000,83
84,84,1239.000000000000000,457769.812500000000000,747256.687500000000000,289486.875000000000000,672941.904837570618838,69870.955096486897673,833775020.093750000000000,84
