OID_,Id,gridcode,InPoly_FID,FID_RCA,gridcode_1,rca_id,uRCA,uRCA_int,Shape_Length,Shape_Area,Area_km2_VB
1,138,1,138,1,1,1.000000000000000,1,1,5768.281246574011675,1460506.473745207767934,1.460506473745208
2,138,1,138,2,2,2.000000000000000,2,2,21347.246803459816874,5499208.207016276195645,5.499208207016276
3,138,1,138,3,3,3.000000000000000,3,3,1042.318461513488955,59725.361971702113806,0.059725361971702
4,138,1,138,4,4,4.000000000000000,4,4,8409.590718333598488,2323827.460313387680799,2.323827460313387
5,138,1,138,5,5,5.000000000000000,5,5,2700.453759043967693,262420.445476484484971,0.262420445476484
6,138,1,138,6,6,6.000000000000000,6,6,5218.430272177946790,1320407.709295312175527,1.320407709295312
7,138,1,138,7,7,7.000000000000000,7,7,7643.704786814692852,2473143.424581666011363,2.473143424581666
8,138,1,138,8,8,8.000000000000000,8,8,8259.418231379990175,979879.964416850358248,0.979879964416850
9,138,1,138,9,9,9.000000000000000,9,9,11405.851325535097203,1984088.037286623613909,1.984088037286624
10,138,1,138,10,10,10.000000000000000,10,10,3670.078380745343566,508530.061150286695920,0.508530061150287
11,138,1,138,11,11,11.000000000000000,11,11,4778.620520953638334,584326.154139690916054,0.584326154139691
12,138,1,138,12,12,12.000000000000000,12,12,13693.212964682736128,1382228.496259371750057,1.382228496259372
13,138,1,138,13,13,13.000000000000000,13,13,15316.229247207116714,1496770.214874009368941,1.496770214874009
14,138,1,138,14,14,14.000000000000000,14,14,2879.817108179795468,266667.120763019949663,0.266667120763020
15,138,1,138,15,15,15.000000000000000,15,15,5214.285459655699015,595719.642664040322416,0.595719642664040
16,138,1,138,16,16,16.000000000000000,16,16,8046.356273035924460,1504948.787679640576243,1.504948787679641
17,138,1,138,17,17,17.000000000000000,17,17,3148.286410714190424,220742.942557117959950,0.220742942557118
18,138,1,138,18,18,18.000000000000000,18,18,3158.358588737031369,164681.815916130784899,0.164681815916131
19,138,1,138,19,19,19.000000000000000,19,19,7908.040083458585286,1826707.688087368849665,1.826707688087369
20,138,1,138,20,20,20.000000000000000,20,20,1611.485315608471410,116798.699293508398114,0.116798699293508
21,138,1,138,21,21,21.000000000000000,21,21,3709.454573958789751,306661.401215052115731,0.306661401215052
22,138,1,138,22,22,22.000000000000000,22,22,6781.957371352504197,1067821.126576438313350,1.067821126576438
23,138,1,138,23,23,23.000000000000000,23,23,6074.330265285351743,556652.263785573188215,0.556652263785573
24,138,1,138,24,24,24.000000000000000,24,24,8734.732837386274696,3375019.704686136916280,3.375019704686137
25,138,1,138,25,25,25.000000000000000,25,25,2894.653255425563202,261448.154278463713126,0.261448154278464
26,138,1,138,27,26,26.000000000000000,26,26,3089.385739190873664,199020.983422029210487,0.199020983422029
27,138,1,138,28,27,27.000000000000000,27,27,3700.790197674797582,233291.500504256313434,0.233291500504256
28,138,1,138,29,28,28.000000000000000,28,28,9210.457879799152579,1663325.249359799548984,1.663325249359800
29,138,1,138,30,29,29.000000000000000,29,29,5573.055640807133386,765504.847278310684487,0.765504847278311
30,138,1,138,31,30,30.000000000000000,30,30,115.841693056914693,787.719499902104758,0.000787719499902
31,138,1,138,32,31,31.000000000000000,31,31,3406.340802741924563,512739.835931209789123,0.512739835931210
32,138,1,138,33,32,32.000000000000000,32,32,5871.091873239080996,380624.460984488832764,0.380624460984489
33,138,1,138,34,33,33.000000000000000,33,33,2738.483945971197500,100387.100767932410236,0.100387100767932
34,138,1,138,35,34,34.000000000000000,34,34,4044.549519420648721,707816.533242433913983,0.707816533242434
35,138,1,138,36,35,35.000000000000000,35,35,3938.990965427961783,762415.497399235726334,0.762415497399236
36,138,1,138,37,36,36.000000000000000,36,36,25488.388816798960761,16842076.361653286963701,16.842076361653287
37,138,1,138,38,37,37.000000000000000,37,37,7046.757825454834347,1472176.597645683679730,1.472176597645684
38,138,1,138,39,38,38.000000000000000,38,38,5873.564315708515096,1556046.518799612065777,1.556046518799612
39,138,1,138,40,39,39.000000000000000,39,39,9391.234920332590264,1594362.397024704609066,1.594362397024705
40,138,1,138,41,40,40.000000000000000,40,40,4117.457562551234332,746454.830637440434657,0.746454830637440
41,138,1,138,42,41,41.000000000000000,41,41,9301.239340943129719,2348577.837899248115718,2.348577837899248
42,138,1,138,43,42,42.000000000000000,42,42,9295.956401678509792,985888.984070187550969,0.985888984070188
43,138,1,138,44,43,43.000000000000000,43,43,6595.770846554329182,787139.951530697406270,0.787139951530697
44,138,1,138,45,44,44.000000000000000,44,44,1700.387650502960241,88805.204878922522767,0.088805204878923
45,138,1,138,46,45,45.000000000000000,45,45,7614.342900970998926,440108.320048662426416,0.440108320048662
46,138,1,138,47,46,46.000000000000000,46,46,4539.459453041868983,772598.052661239635199,0.772598052661240
47,138,1,138,48,47,47.000000000000000,47,47,3585.553617491393652,252695.917795096436748,0.252695917795096
48,138,1,138,49,48,48.000000000000000,48,48,11796.139230914002837,1567938.838332365732640,1.567938838332366
49,138,1,138,50,49,49.000000000000000,49,49,4165.227617767807715,503082.411007802409586,0.503082411007802
50,138,1,138,51,50,50.000000000000000,50,50,11146.074766019861272,1464729.989589793141931,1.464729989589793
51,138,1,138,53,51,51.000000000000000,51,51,6356.724042067015944,426340.016680797329172,0.426340016680797
52,138,1,138,54,52,52.000000000000000,52,52,2303.275867358693176,138171.228826201637276,0.138171228826202
53,138,1,138,55,53,53.000000000000000,53,53,1710.539574953031433,92866.660700956796063,0.092866660700957
54,138,1,138,56,54,54.000000000000000,54,54,6055.340037509014110,382859.613863364793360,0.382859613863365
55,138,1,138,57,55,55.000000000000000,55,55,7037.492374687080883,397803.753569571825210,0.397803753569572
56,135,1,135,58,56,56.000000000000000,56,56,2635.519419744112838,226392.298279625159921,0.226392298279625
57,135,1,135,59,57,57.000000000000000,57,57,6681.132051854199744,808357.131767448037863,0.808357131767448
58,138,1,138,60,58,58.000000000000000,58,58,3721.564176086288626,429361.377511746715754,0.429361377511747
59,138,1,138,61,59,59.000000000000000,59,59,5091.033047915815587,271099.304784435022157,0.271099304784435
60,137,1,137,62,60,60.000000000000000,60,60,8037.091315041611779,2455359.033364501781762,2.455359033364502
61,137,1,137,63,61,61.000000000000000,61,61,9137.748947748954379,3069028.994496089871973,3.069028994496090
62,138,1,138,64,62,62.000000000000000,62,62,2010.572432954643773,119983.458996269211639,0.119983458996269
63,138,1,138,66,63,63.000000000000000,63,63,7007.555290065630288,635233.756532380240969,0.635233756532380
64,133,1,133,67,64,64.000000000000000,64,64,6000.577917807524500,781358.219848079141229,0.781358219848079
65,137,1,137,68,65,65.000000000000000,65,65,7956.879704272910203,2022722.777621362125501,2.022722777621362
66,137,1,137,69,66,66.000000000000000,66,66,10523.291845638079394,3976803.755837912671268,3.976803755837913
67,137,1,137,70,67,67.000000000000000,67,67,21738.974148217956099,12193669.757066205143929,12.193669757066205
68,138,1,138,71,68,68.000000000000000,68,68,6078.649346722329938,521450.115928006882314,0.521450115928007
69,138,1,138,72,69,69.000000000000000,69,69,5998.012663963382693,559727.085318764555268,0.559727085318765
70,138,1,138,73,70,70.000000000000000,70,70,2727.796395664459851,162161.196779077319661,0.162161196779077
71,138,1,138,74,71,71.000000000000000,71,71,6193.849883508120001,533219.028585673193447,0.533219028585673
72,138,1,138,75,72,72.000000000000000,72,72,330.242942088920472,6076.201914541337828,0.006076201914541
73,138,1,138,76,73,73.000000000000000,73,73,1538.237026603035019,79367.870438399622799,0.079367870438400
74,137,1,137,77,74,74.000000000000000,74,74,27197.765030202841444,5208967.422603788785636,5.208967422603789
75,137,1,137,78,75,75.000000000000000,75,75,3349.192118344749815,318783.664202120737173,0.318783664202121
76,138,1,138,79,76,76.000000000000000,76,76,1943.953661768973006,112715.958519579216954,0.112715958519579
77,138,1,138,80,77,77.000000000000000,77,77,2329.351786479246130,125386.728155151169631,0.125386728155151
78,137,1,137,81,78,78.000000000000000,78,78,11397.784141286252634,4791038.538714370690286,4.791038538714370
79,137,1,137,82,79,79.000000000000000,79,79,4031.107889125758447,679166.028384302509949,0.679166028384303
80,137,1,137,83,80,80.000000000000000,80,80,3983.070183809045830,631833.041324599878863,0.631833041324600
81,138,1,138,84,81,81.000000000000000,81,81,5712.799931973223465,335411.893150103627704,0.335411893150104
82,138,1,138,85,82,82.000000000000000,82,82,2096.430952277686174,160772.014016722736415,0.160772014016723
