OID_,uRCA_int,ELEV_COUNT,ELEV_MIN,ELEV_MAX,ELEV_RANGE,ELEV_MEAN,ELEV_STD,ELEV_SUM,uRCA_int_1,SLOPE_COUNT,SLOPE_MIN,SLOPE_MAX,SLOPE_RANGE,SLOPE_MEAN,SLOPE_STD,SLOPE_SUM,uRCA_int_12,ASPECT_COUNT,ASPECT_MIN,ASPECT_MAX,ASPECT_RANGE,ASPECT_MEAN,ASPECT_STD,ASPECT_SUM,uRCA
1,1,58427.000000000000000,337.100006103515625,340.098724365234375,2.998718261718750,338.811523290205798,0.486612896611974,19795740.871276855468750,1,58427.000000000000000,0.000008003672519,8.253311157226562,8.253303153554043,0.757624412905841,0.684184221854891,44265.721572849572112,1,58427.000000000000000,-1.000000000000000,359.981689453125000,360.981689453125000,171.761367695498336,105.185088703650933,10035501.430344881489873,1
2,2,456735.000000000000000,337.209350585937500,555.471252441406250,218.261901855468750,372.217975419320396,51.222031501159591,170004977.003143310546875,2,456275.000000000000000,0.000008016305401,29.209594726562500,29.209586710257099,5.276491422295696,6.172700425150746,2407531.123707968741655,2,456275.000000000000000,-1.000000000000000,359.999267578125000,360.999267578125000,183.854252623214904,129.454458788790163,83888099.115657374262810,2
3,3,2391.000000000000000,336.760009765625000,338.366149902343750,1.606140136718750,337.762960436353126,0.381611512257045,807591.238403320312500,3,2391.000000000000000,0.002766286954284,6.929073333740234,6.926307046785951,0.772336205753873,1.203312099380177,1846.655867957510054,3,2391.000000000000000,-1.000000000000000,358.463439941406250,359.463439941406250,206.626143434166352,88.017354187431977,494043.108951091766357,3
4,4,92945.000000000000000,336.790832519531250,342.510742187500000,5.719909667968750,339.700467537702366,0.895234056307456,31573459.955291748046875,4,92945.000000000000000,0.000008025906936,5.941140651702881,5.941132625795944,0.673348954829793,0.652361984851686,62584.418606655090116,4,92945.000000000000000,-1.000000000000000,359.991027832031250,360.991027832031250,179.725764332719422,105.017119313087875,16704611.165904607623816,4
5,5,10496.000000000000000,336.555999755859375,339.564819335937500,3.008819580078125,338.129248674322923,0.517387568724308,3549004.594085693359375,5,10496.000000000000000,0.000008011585123,8.963995933532715,8.963987921947592,0.759548882204753,0.941919671890412,7972.225067621092421,5,10496.000000000000000,-1.000000000000000,359.936462402343750,360.936462402343750,151.861571124785371,109.280521011146007,1593939.050525747239590,5
6,6,74655.000000000000000,336.555999755859375,398.709655761718750,62.153656005859375,343.092234169350263,9.235475039942354,25613550.741912841796875,6,74655.000000000000000,0.000007986990568,10.462709426879883,10.462701439889315,1.680297223962267,1.992308910805846,125442.589254903010442,6,74655.000000000000000,-1.000000000000000,359.996643066406250,360.996643066406250,172.705441690759187,98.273654195941077,12893324.749423626810312,6
7,7,98937.000000000000000,340.096984863281250,347.296447753906250,7.199462890625000,344.196002075364333,1.346735556357286,34053719.857330322265625,7,98937.000000000000000,0.000008090003575,24.029737472534180,24.029729382530604,1.091347014526518,1.709711848687848,107974.599576210152009,7,98937.000000000000000,-1.000000000000000,359.993255615234375,360.993255615234375,188.116504855026875,96.457649043333390,18611682.640841793268919,7
8,8,131726.000000000000000,338.007110595703125,478.509857177734375,140.502746582031250,369.383770767150963,31.918465637220031,48657446.588073730468750,8,131726.000000000000000,0.000008043335583,17.977645874023438,17.977637830687854,4.194308799113032,3.742374976565981,552499.520871963235550,8,131726.000000000000000,-1.000000000000000,359.997283935546875,360.997283935546875,181.577169264443114,57.107754802886248,23918434.198528032749891,8
9,9,314424.000000000000000,342.474151611328125,536.830932617187500,194.356781005859375,385.668923053256663,42.785263143320620,121263565.462097167968750,9,314264.000000000000000,0.000008220011296,27.548995971679688,27.548987751668392,6.129075413867786,5.491533851691031,1926147.755863745696843,9,314264.000000000000000,-1.000000000000000,359.999664306640625,360.999664306640625,210.144143596396646,106.360284375165804,66040739.143177993595600,9
10,10,47524.000000000000000,342.561950683593750,440.890502929687500,98.328552246093750,364.492397541129321,23.706966136583958,17322136.700744628906250,10,47524.000000000000000,0.000008166729458,14.137166976928711,14.137158810199253,3.706681989703386,3.153712655147873,176156.354878663725685,10,47524.000000000000000,-1.000000000000000,359.995758056640625,360.995758056640625,173.737568082283360,70.565593758579197,8256704.185542434453964,10
