OID_,OID1,uRCA_int,SOLAR_COUNT,SOLAR_MIN,SOLAR_MAX,SOLAR_RANGE,SOLAR_MEAN,SOLAR_STD,SOLAR_SUM,uRCA
1,,1.000000000000000,1619,588881.375000000000000,608981.937500000000000,20101,600306.115773625671864,1511.309259537832986,971895601.437500000000000,1.000000000000000
2,,2.000000000000000,12683,393808.062500000000000,689683.375000000000000,295875,574570.817149432259612,44788.899240061742603,7287281673.906250000000000,2.000000000000000
3,,3.000000000000000,69,595890.562500000000000,603515.375000000000000,7625,600498.249094202881679,1363.922312591473656,41434379.187500000000000,3.000000000000000
4,,4.000000000000000,2585,590792.562500000000000,611509.750000000000000,20717,600449.534792069578543,2666.929956248892267,1552162047.437500000000000,4.000000000000000
5,,5.000000000000000,296,593747.875000000000000,607839.062500000000000,14091,600191.126689189230092,1660.395448372062447,177656573.500000000000000,5.000000000000000
6,,6.000000000000000,2068,590160.062500000000000,646701.125000000000000,56541,606203.938285783398896,10762.724139500462115,1253629744.375000000000000,6.000000000000000
7,,7.000000000000000,2748,579547.375000000000000,621360.562500000000000,41813,600973.683588064042851,3137.495012254135418,1651475682.500000000000000,7.000000000000000
8,,8.000000000000000,3669,577708.000000000000000,676708.687500000000000,99001,618030.536402970785275,18354.504721371366031,2267554038.062500000000000,8.000000000000000
9,,9.000000000000000,8727,394686.187500000000000,700965.500000000000000,306279,599026.795949352555908,40207.516535247043066,5227706848.250000000000000,9.000000000000000
10,,10.000000000000000,1321,584035.250000000000000,667993.062500000000000,83958,617937.170467448886484,18478.826528533700184,816295002.187500000000000,10.000000000000000
11,,11.000000000000000,3455,397341.593750000000000,680969.625000000000000,283628,577582.435627713450231,37786.005994045663101,1995547315.093750000000000,11.000000000000000
12,,12.000000000000000,10303,323497.250000000000000,715273.812500000000000,391777,614343.870729399146512,61849.561864984272688,6329584900.125000000000000,12.000000000000000
13,,13.000000000000000,17000,376398.093750000000000,735176.875000000000000,358779,599579.908840073505417,80222.808016916969791,10192858450.281250000000000,13.000000000000000
14,,14.000000000000000,292,588877.125000000000000,617338.187500000000000,28461,601287.153467465774156,4347.446033012130101,175575848.812500000000000,14.000000000000000
15,,15.000000000000000,2393,562745.187500000000000,713731.375000000000000,150986,647201.793486209819093,38503.697684138678596,1548753891.812500000000000,15.000000000000000
16,,16.000000000000000,3599,478275.781250000000000,691194.000000000000000,212918,617435.913118227268569,33542.677461681800196,2222151851.312500000000000,16.000000000000000
17,,17.000000000000000,1914,467285.031250000000000,704737.500000000000000,237452,627245.266294409637339,40045.301601518534881,1200547439.687500000000000,17.000000000000000
18,,18.000000000000000,3646,460230.406250000000000,687169.000000000000000,226939,612832.389973601209931,42152.024445752816973,2234386893.843750000000000,18.000000000000000
19,,19.000000000000000,6490,450032.750000000000000,720397.437500000000000,270365,608644.064580123289488,41709.302121471293503,3950099979.125000000000000,19.000000000000000
20,,20.000000000000000,3573,441961.656250000000000,712477.750000000000000,270516,627617.312333823065273,50552.231753669671889,2242476656.968750000000000,20.000000000000000
21,,21.000000000000000,4887,416774.812500000000000,739361.687500000000000,322587,634585.847708205459639,56936.767648241089773,3101221037.750000000000000,21.000000000000000
22,,22.000000000000000,3939,397066.218750000000000,687432.250000000000000,290366,572706.972827811609022,53742.887549893479445,2255892765.968750000000000,22.000000000000000
23,,23.000000000000000,4886,456865.406250000000000,731825.687500000000000,274960,629265.443940595607273,61522.741909147269325,3074590959.093750000000000,23.000000000000000
24,,24.000000000000000,5193,488107.812500000000000,683076.750000000000000,194969,607388.499963893671520,17673.513904574050684,3154168480.312500000000000,24.000000000000000
25,,25.000000000000000,3782,374998.156250000000000,723096.875000000000000,348099,621137.902325158589520,62192.206477973501023,2349143546.593750000000000,25.000000000000000
26,,26.000000000000000,4940,363009.906250000000000,720479.562500000000000,357470,586974.997678390704095,88373.123188316356391,2899656488.531250000000000,26.000000000000000
27,,27.000000000000000,2573,431823.875000000000000,716948.750000000000000,285125,608509.355093762162142,82429.245095894759288,1565694570.656250000000000,27.000000000000000
28,,28.000000000000000,7162,432172.562500000000000,710929.812500000000000,278757,590516.075044505763799,57314.417485359830607,4229276129.468750000000000,28.000000000000000
29,,29.000000000000000,1629,529620.812500000000000,685949.750000000000000,156329,615738.797268262715079,26984.772673638148262,1003038500.750000000000000,29.000000000000000
