OID_,OID1,uRCA_int,SOLAR_COUNT,SOLAR_MIN,SOLAR_MAX,SOLAR_RANGE,SOLAR_MEAN,SOLAR_STD,SOLAR_SUM,uRCA
1,,1.000000000000000,253,595348.062500000000000,605132.687500000000000,9785,600271.652667984133586,1638.822367426160326,151868728.125000000000000,1.000000000000000
2,,2.000000000000000,3817,523407.875000000000000,612879.500000000000000,89472,598748.222016636049375,5954.043461782889608,2285421963.437500000000000,2.000000000000000
3,,3.000000000000000,69,595890.562500000000000,603515.375000000000000,7625,600498.249094202881679,1363.922312591473656,41434379.187500000000000,3.000000000000000
4,,4.000000000000000,716,590792.562500000000000,610354.125000000000000,19562,600740.867318435804918,2937.783385400566658,430130461.000000000000000,4.000000000000000
5,,5.000000000000000,209,593747.875000000000000,607839.062500000000000,14091,600289.079246411449276,1888.104219570341911,125460417.562500000000000,5.000000000000000
6,,6.000000000000000,564,590160.062500000000000,627476.625000000000000,37317,601181.578457446768880,5267.210656758532423,339066410.250000000000000,6.000000000000000
7,,7.000000000000000,2073,579547.375000000000000,621360.562500000000000,41813,600935.648064399370924,3413.423465482026586,1245739598.437500000000000,7.000000000000000
8,,8.000000000000000,360,599594.312500000000000,624758.437500000000000,25164,605375.033333333325572,3210.868894434692720,217935012.000000000000000,8.000000000000000
9,,9.000000000000000,2103,573259.687500000000000,645803.250000000000000,72544,601227.280194959603250,7086.249171506237872,1264380970.250000000000000,9.000000000000000
10,,10.000000000000000,277,590391.500000000000000,624883.375000000000000,34492,601682.487815884524025,4036.505330438719739,166666049.125000000000000,10.000000000000000
11,,11.000000000000000,745,531405.250000000000000,615226.812500000000000,83822,596934.315184563747607,10129.198288220077302,444716064.812500000000000,11.000000000000000
12,,12.000000000000000,1161,512679.031250000000000,644362.375000000000000,131683,601399.603063092217781,13400.626926482631461,698224939.156250000000000,12.000000000000000
13,,13.000000000000000,1435,476416.750000000000000,666604.687500000000000,190188,598611.271711672423407,19475.859601968371862,859007174.906250000000000,13.000000000000000
14,,14.000000000000000,292,588877.125000000000000,617338.187500000000000,28461,601287.153467465774156,4347.446033012130101,175575848.812500000000000,14.000000000000000
15,,15.000000000000000,306,585366.062500000000000,669600.250000000000000,84234,602795.387254901928827,9984.804107582142024,184455388.500000000000000,15.000000000000000
16,,16.000000000000000,1728,581072.375000000000000,669576.125000000000000,88504,602986.168655960704200,8688.649963145866423,1041960099.437500000000000,16.000000000000000
17,,17.000000000000000,178,590780.437500000000000,673092.812500000000000,82312,611901.339887640438974,13055.201862668960530,108918438.500000000000000,17.000000000000000
18,,18.000000000000000,73,581509.062500000000000,610076.062500000000000,28567,604496.386986301396973,5294.193179101768692,44128236.250000000000000,18.000000000000000
19,,19.000000000000000,1760,471236.687500000000000,660534.875000000000000,189298,598644.444549005711451,10673.837623064682703,1053614222.406250000000000,19.000000000000000
20,,20.000000000000000,129,586946.500000000000000,655199.312500000000000,68253,614745.256298449588940,14399.022733370287824,79302138.062500000000000,20.000000000000000
21,,21.000000000000000,181,591198.500000000000000,648724.687500000000000,57526,610568.989986187894829,9243.014312253766548,110512987.187500000000000,21.000000000000000
22,,22.000000000000000,1187,571457.062500000000000,620108.125000000000000,48651,599938.645377000793815,6151.006166601793666,712127172.062500000000000,22.000000000000000
23,,23.000000000000000,326,594422.812500000000000,623139.687500000000000,28717,602258.453987730084918,4181.084872922354407,196336256.000000000000000,23.000000000000000
24,,24.000000000000000,2271,560090.750000000000000,637968.187500000000000,77877,600775.955058344290592,5066.333236496791869,1364362193.937500000000000,24.000000000000000
25,,25.000000000000000,378,536928.687500000000000,669092.187500000000000,132164,606645.560515873017721,16433.569519628312264,229312021.875000000000000,25.000000000000000
26,,26.000000000000000,100,441984.281250000000000,652207.125000000000000,210223,563668.412187500041910,54178.718113019611337,56366841.218750000000000,26.000000000000000
27,,27.000000000000000,123,532470.375000000000000,690036.187500000000000,157566,621759.118902439018711,31970.615789559091354,76476371.625000000000000,27.000000000000000
28,,28.000000000000000,781,574460.250000000000000,643406.687500000000000,68946,599114.286571702919900,7403.147098562079918,467908257.812500000000000,28.000000000000000
29,,29.000000000000000,188,585215.875000000000000,621197.062500000000000,35981,600001.344414893654175,6365.554619622755126,112800252.750000000000000,29.000000000000000
30,,30.000000000000000,1,598638.812500000000000,598638.812500000000000,0,598638.812500000000000,0.000000000000000,598638.812500000000000,30.000000000000000
31,,31.000000000000000,169,587143.875000000000000,617893.250000000000000,30749,601210.589866863912903,4615.904361725823946,101604589.687500000000000,31.000000000000000
32,,32.000000000000000,272,511065.937500000000000,672020.937500000000000,160955,617844.602481617592275,31131.509048983389221,168053731.875000000000000,32.000000000000000
33,,33.000000000000000,3,595235.250000000000000,611241.437500000000000,16006,602989.645833333372138,6543.957086887196056,1808968.937500000000000,33.000000000000000
34,,34.000000000000000,607,585614.750000000000000,610194.187500000000000,24579,600617.691103789140470,3144.481016447483398,364574938.500000000000000,34.000000000000000
35,,35.000000000000000,397,593700.187500000000000,609905.937500000000000,16206,601192.585957178846002,2297.172772461079603,238673456.625000000000000,35.000000000000000
36,,36.000000000000000,6662,546411.625000000000000,703136.937500000000000,156725,600983.983629165450111,8869.427850047377433,4003755298.937500000000000,36.000000000000000
37,,37.000000000000000,696,589190.687500000000000,611038.562500000000000,21848,599956.964978448231705,3519.195580729443463,417570047.625000000000000,37.000000000000000
38,,38.000000000000000,593,588787.437500000000000,612663.375000000000000,23876,599970.379848229349591,3149.025788674680825,355782435.250000000000000,38.000000000000000
39,,39.000000000000000,327,594941.562500000000000,606560.625000000000000,11619,600178.655007645254955,1687.055299755268607,196258420.187500000000000,39.000000000000000
40,,40.000000000000000,330,587142.750000000000000,611054.500000000000000,23912,600052.787689393968321,3482.246060450184814,198017419.937500000000000,40.000000000000000
41,,41.000000000000000,804,598093.125000000000000,610358.187500000000000,12265,602759.047108208993450,2097.168500490512997,484618273.875000000000000,41.000000000000000
42,,42.000000000000000,409,541316.875000000000000,667055.750000000000000,125739,610216.089394865557551,16792.433956369128282,249578380.562500000000000,42.000000000000000
43,,43.000000000000000,304,571976.062500000000000,662522.750000000000000,90547,610971.585320723708719,13545.049767659311328,185735361.937500000000000,43.000000000000000
44,,45.000000000000000,250,478918.468750000000000,711017.125000000000000,232099,623251.310749999945983,56017.731454749555269,155812827.687500000000000,45.000000000000000
45,,46.000000000000000,973,457496.031250000000000,629373.000000000000000,171877,599300.385277492343448,13950.704307274256280,583119274.875000000000000,46.000000000000000
46,,47.000000000000000,240,530125.375000000000000,643844.500000000000000,113719,604167.110937500023283,12290.962646842097456,145000106.625000000000000,47.000000000000000
47,,48.000000000000000,1008,485197.000000000000000,688115.500000000000000,202918,606955.064639136893675,11920.332960144374738,611810705.156250000000000,48.000000000000000
48,,49.000000000000000,102,597761.000000000000000,614497.062500000000000,16736,606033.328431372530758,4776.125905558556951,61815399.500000000000000,49.000000000000000
49,,50.000000000000000,1847,436762.531250000000000,689037.125000000000000,252275,596371.869873443385586,23033.244301244438248,1101498843.656250000000000,50.000000000000000
50,,51.000000000000000,227,544519.500000000000000,678040.437500000000000,133521,613741.067731277551502,24987.863113049457752,139319222.375000000000000,51.000000000000000
51,,52.000000000000000,55,446244.031250000000000,679459.937500000000000,233216,583568.970454545458779,62506.722898707994318,32096293.375000000000000,52.000000000000000
52,,53.000000000000000,44,526822.125000000000000,643222.562500000000000,116400,596888.798295454587787,33859.227297184734198,26263107.125000000000000,53.000000000000000
53,,54.000000000000000,248,499159.843750000000000,682322.062500000000000,183162,605577.798135080607608,41787.060394876549253,150183293.937500000000000,54.000000000000000
