OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Shape_Leng,FID_VB600_smoothed,Id,InPoly_FID,FID_RCA,gridcode_1,Join_Count_1,TARGET_FID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng_1,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Shape_Area_1,Shape_Length,Shape_Area
1,0,4,1113,1113.000000000000000,1113,1113,17091.124048099998618,,,,,,2,1,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,17091.124048128163849,641233.742483850568533
2,0,130,1114,1114.000000000000000,1114,1114,5969.297797600000195,,,,,,1,2,{358A659A-4B96-4598-8647-3BCC067167BF},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10553.440000000000509,42.710000000000001,AK,190803031401,190803031401,S,NM,190803031406,0.000000000000000,0.000000000000000,27925.474641900000279,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1294.652994849999914,43.495847431000001,27925.474641900000279,42708271.220299996435642,5969.297797598991565,239970.645901495474391
3,0,4,1130,1130.000000000000000,1130,1130,5890.694923600000038,,,,,,3,3,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,5890.694923597810885,311946.844447814684827
4,0,4,1158,1158.000000000000000,1158,1158,16864.607167599999229,,,,,,1,4,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,16864.607167597852822,358224.949146141123492
5,0,130,1166,1166.000000000000000,1166,1166,17017.811264799998753,,,,,,1,5,{358A659A-4B96-4598-8647-3BCC067167BF},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10553.440000000000509,42.710000000000001,AK,190803031401,190803031401,S,NM,190803031406,0.000000000000000,0.000000000000000,27925.474641900000279,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1294.652994849999914,43.495847431000001,27925.474641900000279,42708271.220299996435642,17017.811264837368071,410413.328452285961248
6,0,4,1167,1167.000000000000000,1167,1167,3521.076974799999789,,,,,,1,6,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,3521.076974796429568,89798.077336969086900
7,0,4,1168,1168.000000000000000,1168,1168,3276.012402400000155,,,,,,1,7,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,3276.012402398070662,206668.182193783781258
8,0,4,1169,1169.000000000000000,1169,1169,1889.560126289999971,,,,,,1,8,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,1889.560126292064979,84827.320957086762064
9,0,4,1170,1170.000000000000000,1170,1170,9871.773737740000797,,,,,,1,9,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,9871.773737741239529,252332.666417211003136
10,0,4,1174,1174.000000000000000,1174,1174,1748.470734810000067,,,,,,1,10,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,1748.470734808282941,91701.138921209960245
