"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","burned_numerical","Time_Since_Burn_min","Z_mean"
"1",328,2,2,1722.997,2,2,2,1,48,397.814
"2",352,1,1,1920.491,1,1,1,1,14,340.775
"3",362,1,1,2087.2,1,1,1,1,48,457.819
"4",373,1,1,15539.58,1,1,1,1,14,336.891
"5",376,5,5,630.311,5,5,5,0,NA,468.863
"6",392,5,5,1309.87,5,5,5,0,NA,0
"7",696,1,1,2266.587,1,1,1,0,NA,1270.176
"8",725,1,1,1210.18,1,1,1,0,NA,396.249
"9",758,1,1,365.734,1,1,1,0,NA,440.401
"10",787,1,1,1892.478,1,1,1,0,NA,0
"11",887,4,4,2602.992,4,4,4,1,49,404.442
"12",1040,1,1,137.837,1,1,1,0,NA,978.818
"13",1082,2,2,561.067,2,2,2,1,13,0
"14",1337,1,1,6761.982,1,1,1,1,48,352.891
"15",1365,1,1,2376.817,1,1,1,1,48,331.704
"16",1556,1,1,2221.726,1,1,1,0,NA,487.901
"17",1569,1,1,3704.56,1,1,1,0,NA,487.2
"18",1595,2,2,2562.19,2,2,2,1,48,291.216
"19",1615,1,1,3724.656,1,1,1,1,13,498.46
"20",1616,1,1,962.796,1,1,1,1,13,517.408
"21",1709,1,1,339.552,1,1,1,1,51,301.557
"22",1720,1,1,2879.173,1,1,1,0,NA,433.689
"23",1821,5,5,553.165,5,5,5,1,13,587.916
"24",1862,1,1,5616.94,1,1,1,0,NA,290.803
"25",1888,3,3,1494.549,3,3,3,0,NA,442.698
"26",1929,1,1,84.938,1,1,1,1,4,348.616
"27",1948,1,1,3262.59,1,1,1,0,NA,380.998
"28",1971,2,2,3631.546,2,2,2,0,NA,300.569
"29",1981,1,1,153.088,1,1,1,1,4,338.836
"30",1995,1,1,1161.248,1,1,1,0,NA,299.615
"31",2016,1,1,2002.518,1,1,1,0,NA,303.486
"32",2103,1,1,88.739,1,1,1,1,51,136.307
"33",2202,2,2,17234.671,2,2,2,0,NA,395.897
"34",2204,2,2,15964.805,2,2,2,0,NA,334.185
"35",2206,7,7,1088.232,7,7,7,0,NA,349.456
"36",2215,1,1,1041.959,1,1,1,1,0,288.01
"37",2218,1,1,11699.693,1,1,1,0,NA,360.585
"38",2231,3,3,473.523,3,3,3,1,-1,279.293
"39",2262,2,2,3213.707,2,2,2,1,31,369.233
"40",2282,1,1,885.255,1,1,1,0,NA,430.732
"41",2292,7,7,732.58,7,7,7,0,NA,450.834
"42",2302,1,1,281.025,1,1,1,0,NA,418.458
"43",2304,1,1,1279.293,1,1,1,0,NA,412.56
"44",2312,1,1,372.628,1,1,1,0,NA,485.339
"45",2337,3,3,2871.245,3,3,3,0,NA,400.21
"46",2379,4,4,1314.406,4,4,4,0,NA,422.624
"47",2382,2,2,409.566,2,2,2,1,4,313.616
"48",2386,4,4,563.432,4,4,4,1,4,293.874
"49",2391,5,5,1194.832,5,5,5,1,4,330.925
"50",2417,2,2,1781.933,2,2,2,1,31,454.639
"51",2421,4,4,1366.493,4,4,4,0,NA,554.281
"52",2449,3,3,2188.031,3,3,3,0,NA,435.528
"53",2467,1,1,1522.37,1,1,1,0,NA,422.114
"54",2511,3,3,904.533,3,3,3,0,NA,606.694
"55",2516,1,1,694.622,1,1,1,0,NA,450.412
"56",2524,1,1,1336.423,1,1,1,0,NA,279.684
"57",2540,1,1,787.701,1,1,1,1,4,274.014
"58",2581,1,1,4274.81,1,1,1,0,NA,381.186
"59",2663,1,1,952.416,1,1,1,1,4,246.84
"60",2782,2,2,3835.592,2,2,2,0,NA,247.769
"61",2803,1,1,471.932,1,1,1,0,NA,509.047
"62",2822,2,2,16050.567,2,2,2,0,NA,156.146
"63",2823,1,1,505.886,1,1,1,0,NA,495.334
