"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","burned_numerical","Time_Since_Burn_min","Z_mean","picgla_PCT_MEAN","picmar_PCT_MEAN","rhoshr_PCT_MEAN","salshr_PCT_MEAN","sphagn_PCT_MEAN","vaculi_PCT_MEAN","vacvit_PCT_MEAN","alnus_PCT_MEAN","betshr_PCT_MEAN","bettre_PCT_MEAN","dectre_PCT_MEAN","dryas_PCT_MEAN","empnig_PCT_MEAN","erivag_PCT_MEAN","uRCA_Area_km2","Fire_Event_ID","Fire_Event_Area_in_uRCA_km2","Fire_Event_Area_Percent_of_uRCA","Fire_Event_Ignition_Date","BS1_AreaKm2","BS2_AreaKm2","BS3_AreaKm2","BS4_AreaKm2","BS_sum_AreaKm2","DNBR_MEAN","RDNBR_MEAN","uRCA_int","SOLAR_COUNT","SOLAR_MIN","SOLAR_MAX","SOLAR_RANGE","SOLAR_MEAN","SOLAR_STD","SOLAR_SUM","tmLichenLight_2015_MEAN","BroadleafTree_2015_MEAN","ConiferTree_2015_MEAN","DeciduousShrub_2015_MEAN","EvergreenShrub_2015_MEAN","Forb_2015_MEAN","ALD_1950_MEAN","ALD_1951_MEAN","ALD_1952_MEAN","ALD_1953_MEAN","ALD_1954_MEAN","ALD_1955_MEAN","ALD_1956_MEAN","ALD_1957_MEAN","ALD_1958_MEAN","ALD_1959_MEAN","ALD_1960_MEAN","ALD_1961_MEAN","ALD_1962_MEAN","ALD_1963_MEAN","ALD_1964_MEAN","ALD_1965_MEAN","ALD_1966_MEAN","ALD_1967_MEAN","ALD_1968_MEAN","ALD_1969_MEAN","ALD_1970_MEAN","ALD_1971_MEAN","ALD_1972_MEAN","ALD_1973_MEAN","ALD_1974_MEAN","ALD_1975_MEAN","ALD_1976_MEAN","ALD_1977_MEAN","ALD_1978_MEAN","ALD_1979_MEAN","ALD_1980_MEAN","ALD_1981_MEAN","ALD_1982_MEAN","ALD_1983_MEAN","ALD_1984_MEAN","ALD_1985_MEAN","ALD_1986_MEAN","ALD_1987_MEAN","ALD_1988_MEAN","ALD_1989_MEAN","ALD_1990_MEAN","ALD_1991_MEAN","ALD_1992_MEAN","ALD_1993_MEAN","ALD_1994_MEAN","ALD_1995_MEAN","ALD_1996_MEAN","ALD_1997_MEAN","ALD_1998_MEAN","ALD_1999_MEAN","ALD_2000_MEAN","ALD_2001_MEAN","ALD_2002_MEAN","ALD_2003_MEAN","ALD_2004_MEAN","ALD_2005_MEAN","ALD_2006_MEAN","ALD_2007_MEAN","ALD_2008_MEAN","ALD_2009_MEAN","ALD_2010_MEAN","ALD_2011_MEAN","ALD_2012_MEAN","ALD_2013_MEAN","ALD_2014_MEAN","ALD_2015_MEAN","X","LENGTH_M_sum","AREA_SQKM_mean","OUT_DIST_min","GRADIENT_mean","MNANPRC_M_mean","MEANANNCMS_mean","WIDTH_M_mean","DEPTH_M_mean","MAX_GRAD_D_max","LAKE_max","STRM_ORDER_max","AZIMTH_DEG_mean","SINUOSITY_mean","VAL_WIDTH_mean","FP_WIDTH_mean","DROPMAX_max","Fish_min","Basin_ID_min","VWI_Floor_mean","ValCnstrnt_mean","FlowVel_mean","BFQ_mean","StrmPow_mean","BeavHab_min","FISH_RESID_min","GEP_Cum_mean","GEP_mean","IP_CHIN2_mean","ELEV_M_mean","Shape_Area.x","Area_km2_RCA","Shape_Area.y","Area_km2_VB","Graminoid_2015_MEAN"
"1",328,2,2,1722.997,2,2,2,1,48,397.814,27.6827956989247,8.33736559139785,3.79614695340502,18.0779569892473,0.077060931899642,3.59498207885305,3.96639784946237,11.0008960573477,6.24731182795699,8.33019713261649,10.8673835125448,2.79928315412186,0.293010752688172,0.14247311827957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,248,586480.1875,625381.9375,38902,604605.078629032,7547.16297211968,149942059.5,0.0826446280992,13.9917355372,34.194214876,16.1198347107,0.0413223140496,3.01239669421,0.661528360824,0.652635040146,0.783291633167,0.949281218015,0.816020736376,0.796537715693,0.728374313259,0.648395177608,0.686726150521,0.856998273045,0.886010692321,0.830542431032,0.807349359821,0.656134050409,0.641986260082,0.711280152969,0.7188596544,0.89850296795,0.76180101643,0.74041067873,0.820446847104,0.933648671727,0.935449949834,0.963744689215,0.937242276384,1.10967156436,0.911720425103,1.15062299927,0.97797355426,1.0781319011,1.07395227066,1.09676035382,1.096760378,1.00146598895,0.952848720092,0.80969122633,0.810750004924,0.835490933716,1.00114454826,1.00514666838,1.0817875335,1.05149182174,0.872576520445,0.903995921374,0.872383048797,0.951524910722,0.90457181174,1.04477463538,1.07181316543,1.08021293925,0.784718640401,0.788024927278,0.8258579895,0.822602587233,0.817359013534,1.0548855481,0.954037889914,1.0278655596,0.889670613785,0.843895507945,0.865885460763,0.859199447467,0.850810681855,0.829849075985,1.13789344615,0.836201264686,336,856.482,308.847,121.152,0.003,0.425,1.873,5.306,0.165,0.03,0,4,256.606,1.261,70.586,82.816,0,1,5031603,13.304,15.607,0.449,0.392,33.542,1,1,0.304,0.075,0.852,397.306,222679.969161366,0.222679969161366,219239.242643466,0.219239242643466,0.619834710744
"2",352,1,1,1920.491,1,1,1,1,14,340.775,2.49182438749052,10.4315700351013,14.0064911011942,19.0061736016792,6.76834882613374,10.5625033072866,6.49916215405782,5.83008484292593,14.885029897871,9.83112553578043,12.3041468964422,3.36383680524933,6.12386008854709,18.3908419028804,5.66960947199997,0,3.91071194103106,68.9767419110302,20030614,0.8712,1.4931,1.0161,0.1278,3.5081999,298.498826597132,307.679009126467,352,6299,390491.71875,715206.4375,324715,583873.015796158,54953.5162435508,3677816126.5,1.70142857143,15.1511111111,12.5403174603,20.0046031746,10.7444444444,1.34079365079,0.844548774228,0.904397257014,1.00249381634,1.13912016952,1.08582582248,1.04596056398,0.98063447933,0.820896244724,0.887895141103,0.992462368882,1.0433920975,1.11762166823,1.08952264887,0.859913869339,0.826665343837,0.917737595425,0.933956275656,1.12038720753,0.935215423476,0.943248034051,1.03030696326,1.07644227414,0.96879034371,1.13891759719,1.12552324403,1.20506274378,1.14416512029,1.24733835583,1.17948852848,1.24196160504,1.24196160504,1.19370801063,1.19419185537,1.10964239822,1.16569831407,1.09958315334,1.09968206655,1.15572045523,1.29470514259,1.2959214152,1.33145475196,0.897265239305,1.03744647612,1.13282905376,1.10206121384,1.18723477207,1.12559132115,1.23904249624,1.27705402183,1.1566728317,1.10405690969,1.0742856353,1.07778340461,1.02095196163,1.09128032154,1.27367430144,1.19122770837,1.26757078426,1.13798365031,1.00065389327,1.04786874969,1.11559360589,1.10683322019,1.04818685358,1.25413861024,0.990677496456,360,4010.67,65.964,73.123,0.005,0.336,0.264,2,0.095,0.022,0,4,108.702,1.126,17.042,51.023,0,1,5031705,8.58,25.588,0.409,0.077,6.717,1,1,0.274,0.165,0.444,341.792,5669609.47200034,5.66960947200034,1023227.69276623,1.02322769276623,18.8182934316
"3",362,1,1,2087.2,1,1,1,1,48,457.819,10.9038149407929,19.466317587117,9.80252071189646,13.4187825497862,1.20494545043964,9.6366702891903,6.78123720943362,7.64063624687734,7.45440560032744,7.01407138723837,11.9652661143494,9.06064669103637,7.0303304023824,1.73261541501418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,7859,395388.625,731562.75,336174,589634.729995069,76912.4544690355,4633939343.03125,7.18524631793,4.03593194515,33.2646013205,9.77209243271,6.57453021838,0.253555104114,0.610542541507,0.596725164491,0.7105307947,0.818481327427,0.730008504829,0.734743979408,0.650742933656,0.569572772434,0.596945539512,0.759486336969,0.766971345651,0.743062267514,0.699919112585,0.58848822919,0.576289159873,0.636097048767,0.636097304786,0.740439249441,0.699119545993,0.622924488418,0.732628762864,0.79422013296,0.794286440902,0.843920577389,0.819619404742,0.952373408245,0.814481103921,0.928776758283,0.833452998252,0.940914830065,0.875262883657,0.871648021396,0.871648021396,0.818975243722,0.823904417508,0.708014990075,0.709702270818,0.729223191156,0.834781429393,0.867246358685,0.910319829973,0.909493509771,0.716596471515,0.77042394698,0.726669275495,0.786836233566,0.774054395265,0.902032901539,0.914494669088,0.920678273109,0.682514566119,0.680917444432,0.670281506125,0.549346198679,0.692413807926,0.939434915557,0.810175092776,0.897580505626,0.728143167307,0.598067789004,0.783472863255,0.786889217526,0.768818404287,0.709414814296,0.965822220085,0.721195271599,370,3826.822,234.251,131.59,0.008,0.444,1.477,4.714,0.154,0.042,0,4,263.721,1.097,41.291,65.093,2.296,1,5031603,8.761,13.793,0.672,0.488,77.453,0,1,0.328,0.213,0.741,467.532,7088819.2654873,7.08881926548731,667771.442246988,0.667771442246988,0.671755725191
"4",373,1,1,15539.58,1,1,1,1,14,336.891,2.92617211734468,4.52255605778605,12.644154923336,21.8036869626872,6.08747673491093,9.59859966321014,7.27625631480989,6.17911902862714,14.586900646991,8.16343171142427,14.0393512363733,0.67349109279447,3.41088363024018,12.9128777807321,1.12851442751259,0,1.10651109769435,98.0502372860853,20030614,0.2151,0.4131,0.2151,0.0009,0.8442,262.075107296137,251.228540772532,373,1259,417788.75,714350.5,296562,626846.298475973,48737.2860755885,789199489.78125,0.574044585987,17.4554140127,6.44585987261,23.5581210191,7.3678343949,2.81050955414,0.823627010798,0.905886228905,1.08418970316,1.14241628043,1.11382831961,0.992982592299,0.894267987521,0.777213382675,0.857787817708,1.05652331688,1.04527458424,1.04615207231,1.04615207231,0.846413584019,0.803245817427,0.908063514931,0.922622452543,1.13952880387,0.974878226196,0.936971453224,1.07744930248,1.10516751568,1.0050941558,1.17593093163,1.12457558866,1.29306926888,1.18659913999,1.29132690949,1.17737230582,1.34433493961,1.34433493961,1.30363724432,1.30363724432,1.21502219332,1.22597172854,1.07114754941,1.07148104335,1.17962772526,1.31878849359,1.33856431228,1.38967092735,0.884605786109,1.10336844886,1.12092172957,1.09321128424,1.23824177728,1.12073368902,1.28547592283,1.30247243903,1.22978477021,1.08279753218,1.08573909869,1.07412748759,1.07412748759,1.09519334845,1.30942093866,1.21099555717,1.29972571872,1.14963030964,1.13910039416,1.0809827174,1.13265220923,1.06088920901,1.06052567089,1.33177251095,1.00434886772,381,1407.107,26.686,71.839,0.003,0.383,0.119,1.349,0.076,0.023,0,3,182.135,1.054,14.736,63.476,0,1,5031706,10.891,47.247,0.296,0.03,2.197,1,1,0.301,0.089,0.342,335.854,1128514.42751213,1.12851442751213,573267.263107185,0.573267263107185,21.5058670143
"5",376,5,5,630.311,5,5,5,0,NA,468.863,9.48996483063173,12.6229209085861,9.84575719914324,15.4565671523389,1.03075336488881,11.7604780918634,6.7616944760293,9.69860115820927,14.6485443054711,10.9965359494407,12.7149430150461,7.9465848692387,8.94870031996192,1.62619985720708,3.78207293503687,0,1.73479221166609,45.8682971527303,20100601,0.4086,0.3537,0.5544,0.4905,1.8072,393.671532846715,446.454118873827,376,4215,371805.5,730417.25,358612,588537.670514531,82216.3846331631,2480686281.21875,1.57254995243,17.191246432,20.5318744053,16.3974785918,4.91389153187,2.38154138915,0.579109826244,0.616022325509,0.634290737012,0.686329989423,0.609689797776,0.636534325978,0.592098120564,0.554816932735,0.553372227725,0.676635103488,0.676635103488,0.606658365661,0.596885926771,0.55299998063,0.518498674715,0.553066344641,0.561282979678,0.709434164976,0.594299711253,0.588449754315,0.621424524372,0.639163393118,0.639204494379,0.668049127818,0.654894101235,0.734432492669,0.646202834257,0.700726858227,0.681268269864,0.750500508472,0.750500510662,0.65379659105,0.654040262359,0.639572261504,0.606809525687,0.555375639107,0.556695959943,0.589852842746,0.726683481966,0.738711919957,0.785988700743,0.786306663333,0.622794474843,0.67586086743,0.658114690356,0.73829950469,0.620060159811,0.7141378204,0.719152337884,0.667308178312,0.568448626773,0.576137328041,0.579841996493,0.557052368366,0.609797735649,0.800030572077,0.694155650005,0.714511679465,0.623610416836,0.613461370099,0.681776498177,0.681777370501,0.6250755548,0.615396110197,0.745396969368,0.669763586376,384,2377.142,13.426,76.648,0.031,0.409,0.063,0.979,0.063,0.04,0,3,214.83,1.035,9.384,43.426,0,1,5031607,9.646,44.396,0.866,0.053,16.326,0,1,0.338,0.227,0.154,465.167,3782072.93503765,3.78207293503765,279664.143740476,0.279664143740476,2.172
"6",392,5,5,1309.87,5,5,5,0,NA,0,19.4892505653406,15.8011848265758,12.2309074115361,18.1600216581202,0.161066343918209,7.70052552791668,5.57386374494378,12.1915597031564,12.1027805204319,17.6864668598911,19.9564353282161,3.4273083415613,0.956422588145364,0.320183457018186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,17433,373507.34375,724092.5,350585,608777.858440171,40407.8081940992,10612824406.1875,0.674582688006,20.668158091,34.3990707279,8.69626570298,1.78827511042,1.58165548098,0.739526570558,0.816052617286,0.941824673777,1.05706389564,0.977192397077,0.848810929228,0.859432607072,0.711483055626,0.791415092267,0.932786734443,0.950609977964,0.99325794285,0.978029682774,0.748903974836,0.702683268063,0.778099556593,0.808703026969,1.01467348047,0.805253916725,0.839932042842,0.961919008088,1.00045092728,0.906161154332,1.05498019739,1.03076319402,1.14493334044,1.06948267194,1.19594249268,1.11844845495,1.20638070291,1.20638070291,1.15109526543,1.15109534491,1.01351699354,1.1015249954,1.04052766706,1.04053553545,1.06579209981,1.20529957349,1.20577087456,1.26874449072,0.874894211016,0.970786855104,1.01567870836,1.02646190327,1.14379432219,1.02459591359,1.15458079142,1.21684150461,1.04047406894,0.923500858157,0.916840974009,0.944608241271,0.944608241271,0.918843085645,1.17205171414,1.04876584492,1.15024052406,0.983299675064,0.84734192684,0.948928498981,1.0064366784,0.994356500589,1.06179970723,1.16839660783,0.891043996775,402,7555.509,23.117,617.746,0.01,0.367,0.097,4.635,0.332,0.028,0,4,155.372,1.024,84.049,59.618,0,1,3070110,17.229,12.133,1.332,2.028,258.124,1,1,0.213,0.123,0.317,337.764,15699755.7268125,15.6997557268124,1168488.68970443,1.16848868970443,3.98162327718
"7",696,1,1,2266.587,1,1,1,0,NA,1270.176,0.020370789300757,0.000021544991328,1.19022072843616,4.46945458854453,0.771202964590807,1.3899212530567,0.611802346249556,0.46329272102468,3.42871300994301,0.001314244471017,0,11.7027114371586,0.658037897639746,0.393734716521777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,10320,143653.703125,894023.625,750370,601315.915743096,170895.829347824,6205580250.46875,7.96740711999,0,0.0735279852556,6.63236007372,10.6717431371,0.48326704821,0.523876304988,0.51977846139,0.519236008326,0.54999704566,0.507120594531,0.479820394427,0.467510528513,0.550097785201,0.546562256153,0.442187142883,0.460017355488,0.518143945944,0.540658241738,0.565193198729,0.508131256856,0.439290515583,0.466772799899,0.504999013804,0.508765662886,0.474418247047,0.477450983536,0.481455456132,0.491579142717,0.494189330608,0.507424089223,0.52472248703,0.534321668539,0.564839931998,0.570050192746,0.558298742247,0.53730049557,0.473179528101,0.478366631189,0.465482562161,0.4695392067,0.451534967587,0.457144276601,0.488417761506,0.569839264279,0.590560651025,0.596612495497,0.629046778092,0.627499936563,0.634705912893,0.751149090583,0.752683147262,0.696799815487,0.607244560299,0.552443244634,0.520305723636,0.444739416549,0.581740625777,0.540406211931,0.486997095334,0.648012669635,0.862605824073,0.85824686912,0.863257925447,0.564469012892,0.529115195408,0.53365407303,0.52924837091,0.495588739573,0.5312242394,0.53790613646,0.57563315424,716,3876.381,5.357,213.508,0.06,0.528,0.033,0.691,0.051,0.166,1,4,77.707,1.026,5.231,39.167,8.449,0,5031302,8.233,62,0.847,0.032,18.256,0,1,0.544,0.297,0.05,1200.667,9282045.92199633,9.28204592199634,483842.361863152,0.483842361863152,12.7126948775
"8",725,1,1,1210.18,1,1,1,0,NA,396.249,18.3729110669627,14.3481749834444,9.65459078337424,15.6871567138016,0.144365237037903,8.59947021931362,6.30442912235597,12.4679989092751,10.1426512406996,19.5409606170387,21.1097736745744,4.15496085076546,2.89727708308987,0.263877527170737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,2856,380339.3125,705867.0625,325528,613731.799719888,65368.5547404216,1752818020,1.00738656349,18.1048188533,34.0172353148,11.9757298628,1.89553288779,1.51072810412,0.569123528618,0.621487565817,0.72060078008,0.878946493663,0.77079048974,0.690857871753,0.653699818861,0.554340008721,0.596182509385,0.750252235842,0.752298763568,0.742022406145,0.742022463779,0.600696405675,0.579622607549,0.633859332509,0.631957601339,0.803034896552,0.667757729133,0.640040244727,0.766136945693,0.820072905387,0.68975926268,0.85122629132,0.784987313477,0.959159778575,0.910631093978,1.05006385403,1.05006385403,0.994337396162,0.995928281904,0.958063254615,0.953877731803,0.83559988454,0.85019081654,0.765595977599,0.769946970888,0.770714311688,0.956083314525,0.964869131016,1.06291522998,0.612446861388,0.765438758392,0.79167444285,0.811681183961,0.853980816375,0.828417439907,0.917567082808,0.983906557687,0.878061387154,0.666947795402,0.73089014646,0.740136439992,0.740136439992,0.705568271881,0.923407828764,0.869733051117,0.950269742097,0.829126604375,0.827688709331,0.805228746279,0.79159290473,0.78608297112,0.755230909888,1.00242354184,0.755550026723,748,2669.422,11.059,80.543,0.02,0.4,0.05,0.869,0.059,0.034,0,4,255.506,1.021,78.895,65.523,0,1,5050701,89.945,74.395,0.634,0.032,6.771,1,1,0.281,0.187,0.217,397.172,2566631.00394159,2.56663100394159,390166.340545,0.390166340545,5.09763313609
"9",758,1,1,365.734,1,1,1,0,NA,440.401,15.994657296881,12.1038698498267,8.7062957258375,14.5403831343858,0.074990373507894,8.70104928763958,6.9308336542164,16.4442144782441,9.21977281478629,20.8427993839045,24.1599922988063,9.39978821717366,6.87047554871005,0.070273392375818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,2307,365644.03125,729247.1875,363603,565906.824189965,100363.816153237,1305547043.40625,1.94547814799,15.3591518823,30.8377325833,18.7196019039,1.85633924708,2.22241453916,0.59380670153,0.619217146419,0.712973371333,0.849520761035,0.755029237395,0.708516090236,0.669925196233,0.576745351656,0.579244076535,0.753136892039,0.753549126557,0.709133868527,0.709085311968,0.619370917077,0.590499070726,0.639471943689,0.639601554721,0.799268924419,0.686981491746,0.625449963038,0.754409667074,0.808164148426,0.791043514178,0.826286168722,0.806015971284,0.918988623001,0.842277460465,1.01767964519,1.01767964519,0.960310743362,0.978343463878,0.912042266316,0.894584365194,0.788037537061,0.773922406072,0.715709067091,0.717136206317,0.708122294729,0.891971785664,0.907119094603,1.04306725468,0.712331855784,0.743117879549,0.763956643641,0.771067292606,0.806763449459,0.803564458955,0.872770494613,0.933803337921,0.824570579877,0.641155827163,0.687303313475,0.707712424819,0.707712424819,0.671917381213,0.874305759499,0.849320073003,0.911791752216,0.784097467156,0.784083725599,0.790347596975,0.777639140808,0.749901339537,0.745680406726,0.959472561493,0.706849729542,782,450.416,2.446,83.046,0.036,0.392,0.01,0.387,0.037,0.056,0,3,268.905,1.032,5.168,35.238,0,1,5050701,13.337,91.199,0.632,0.009,3.426,0,1,0.314,0.153,0.083,432.01,2077411.71637821,2.07741171637821,28318.1502064894,0.028318150206489,1.36470588235
"10",787,1,1,1892.478,1,1,1,0,NA,0,11.5852093899725,10.794449010685,9.17401720024858,15.2542549565984,0.756219553755789,9.56799911793597,6.0545877353006,11.6662089288936,10.0490547882044,14.5013832367741,17.8389932441914,5.56364893851613,7.52126977126476,0.579235410861416,9.97583394962567,0,1.94727834255477,19.5199575378444,20100526,0.7254,0.4365,0.4059,0.3465,1.9143,274.10479485912,378.974295600593,787,11084,324090.65625,746316.25,422226,582343.515687026,87744.1652741122,6454695527.875,2.21590909091,18.2158189033,25.4816017316,15.1178751804,3.07205988456,1.51361832612,0.596400937343,0.611700704009,0.667473307352,0.788569868333,0.67335883001,0.684816669689,0.673790651501,0.562360616565,0.559861753387,0.730884008026,0.730891619739,0.662255422879,0.647506012733,0.593053139372,0.561088341357,0.599128775602,0.599562930324,0.735493070681,0.62410505342,0.59221381677,0.690527669499,0.735124720343,0.735153572989,0.765307786081,0.754870792866,0.837609389192,0.749398045526,0.849427970568,0.827517490361,0.881588519562,0.900969491216,0.848492104071,0.803525373048,0.765516396609,0.69381532181,0.641277684548,0.648234740244,0.660522482973,0.804901990286,0.822596465846,0.94937900348,0.949841236343,0.693596774713,0.713386633416,0.715567732619,0.771336371298,0.715274046213,0.805734288045,0.847140722559,0.753078388213,0.646049870055,0.625585000474,0.632865069645,0.632865069645,0.636426774571,0.837736755841,0.78057032234,0.823477856389,0.689310098123,0.607775071253,0.749906953987,0.749900459444,0.684668380198,0.684721622943,0.87395070974,0.659416112791,811,5024.813,44.713,690.44,0.011,0.417,0.232,6.94,0.403,0.026,0,4,95.559,1.086,150.342,105.236,0,1,3070103,21.566,15.099,1.649,4.597,560.933,0,1,0.303,0.168,0.436,410.396,9975833.94962584,9.97583394962584,692900.246319024,0.692900246319024,2.11560226354
