,X.1,uRCA,Dams_Per_Basin,Burned_n,Pond_Area_m2_mean,Main_n,Side_n,Off_n,Burned_numerical,Time_Since_Burn_min,Z_mean,alnus_PCT_MEAN,betshr_PCT_MEAN,bettre_PCT_MEAN,dectre_PCT_MEAN,dryas_PCT_MEAN,empnig_PCT_MEAN,erivag_PCT_MEAN,picgla_PCT_MEAN,picmar_PCT_MEAN,rhoshr_PCT_MEAN,salshr_PCT_MEAN,sphagn_PCT_MEAN,vaculi_PCT_MEAN,vacvit_PCT_MEAN,uRCA_Area_km2,Fire_Event_ID,Fire_Event_Area_in_uRCA_km2,Fire_Event_Area_Percent_of_uRCA,Fire_Event_Ignition_Date,BS1_AreaKm2,BS2_AreaKm2,BS3_AreaKm2,BS4_AreaKm2,BS_sum_AreaKm2,DNBR_MEAN,RDNBR_MEAN,uRCA_int,SOLAR_COUNT,SOLAR_MIN,SOLAR_MAX,SOLAR_RANGE,SOLAR_MEAN,SOLAR_STD,SOLAR_SUM,tmLichenLight_2015_MEAN,BroadleafTree_2015_MEAN,ConiferTree_2015_MEAN,DeciduousShrub_2015_MEAN,EvergreenShrub_2015_MEAN,Forb_2015_MEAN,ALD_1950_MEAN,ALD_1951_MEAN,ALD_1952_MEAN,ALD_1953_MEAN,ALD_1954_MEAN,ALD_1955_MEAN,ALD_1956_MEAN,ALD_1957_MEAN,ALD_1958_MEAN,ALD_1959_MEAN,ALD_1960_MEAN,ALD_1961_MEAN,ALD_1962_MEAN,ALD_1963_MEAN,ALD_1964_MEAN,ALD_1965_MEAN,ALD_1966_MEAN,ALD_1967_MEAN,ALD_1968_MEAN,ALD_1969_MEAN,ALD_1970_MEAN,ALD_1971_MEAN,ALD_1972_MEAN,ALD_1973_MEAN,ALD_1974_MEAN,ALD_1975_MEAN,ALD_1976_MEAN,ALD_1977_MEAN,ALD_1978_MEAN,ALD_1979_MEAN,ALD_1980_MEAN,ALD_1981_MEAN,ALD_1982_MEAN,ALD_1983_MEAN,ALD_1984_MEAN,ALD_1985_MEAN,ALD_1986_MEAN,ALD_1987_MEAN,ALD_1988_MEAN,ALD_1989_MEAN,ALD_1990_MEAN,ALD_1991_MEAN,ALD_1992_MEAN,ALD_1993_MEAN,ALD_1994_MEAN,ALD_1995_MEAN,ALD_1996_MEAN,ALD_1997_MEAN,ALD_1998_MEAN,ALD_1999_MEAN,ALD_2000_MEAN,ALD_2001_MEAN,ALD_2002_MEAN,ALD_2003_MEAN,ALD_2004_MEAN,ALD_2005_MEAN,ALD_2006_MEAN,ALD_2007_MEAN,ALD_2008_MEAN,ALD_2009_MEAN,ALD_2010_MEAN,ALD_2011_MEAN,ALD_2012_MEAN,ALD_2013_MEAN,ALD_2014_MEAN,ALD_2015_MEAN,X,LENGTH_M_sum,AREA_SQKM_mean,OUT_DIST_min,GRADIENT_mean,MNANPRC_M_mean,MEANANNCMS_mean,WIDTH_M_mean,DEPTH_M_mean,MAX_GRAD_D_max,LAKE_max,STRM_ORDER_max,AZIMTH_DEG_mean,SINUOSITY_mean,VAL_WIDTH_mean,FP_WIDTH_mean,DROPMAX_max,Fish_min,Basin_ID_min,VWI_Floor_mean,ValCnstrnt_mean,FlowVel_mean,BFQ_mean,StrmPow_mean,BeavHab_min,FISH_RESID_min,GEP_Cum_mean,GEP_mean,IP_CHIN2_mean,ELEV_M_mean,Shape_Area.x,Area_km2_RCA,Shape_Area.y,Area_km2_VB,Graminoid_2015_MEAN,dams_per_km2,dams_per_km_linear,mean_pond_area_m2perkm2,percent_main_ponds,percent_side_ponds,percent_off_ponds,Burned_basin,percent_severe_burn,percent_moderate_burn,percent_mild_burn,percent_no_burn,percent_woody_cover,decidous_conifer_ratio
1,1,328,2,2,1722.997,2,2,2,1,48,397.814,11.07870792,6.195177434,8.409918107,10.94585987,2.772975432,0.261146497,0.13921747,27.78070974,8.167424932,3.734758872,18.06050955,0.078252957,3.527752502,3.908098271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,248,586480.1875,625381.9375,38902,604605.0786,7547.162972,149942059.5,0.082644628,13.99173554,34.19421488,16.11983471,0.041322314,3.012396694,0.661528361,0.65263504,0.783291633,0.949281218,0.816020736,0.796537716,0.728374313,0.648395178,0.686726151,0.856998273,0.886010692,0.830542431,0.80734936,0.65613405,0.64198626,0.711280153,0.718859654,0.898502968,0.761801016,0.740410679,0.820446847,0.933648672,0.93544995,0.963744689,0.937242276,1.109671564,0.911720425,1.150622999,0.977973554,1.078131901,1.073952271,1.096760354,1.096760378,1.001465989,0.95284872,0.809691226,0.810750005,0.835490934,1.001144548,1.005146668,1.081787534,1.051491822,0.87257652,0.903995921,0.872383049,0.951524911,0.904571812,1.044774635,1.071813165,1.080212939,0.78471864,0.788024927,0.82585799,0.822602587,0.817359014,1.054885548,0.95403789,1.02786556,0.889670614,0.843895508,0.865885461,0.859199447,0.850810682,0.829849076,1.137893446,0.836201265,336,856.482,308.847,121.152,0.003,0.425,1.873,5.306,0.165,0.03,0,4,256.606,1.261,70.586,82.816,0,1,5031603,13.304,15.607,0.449,0.392,33.542,1,1,0.304,0.075,0.852,397.306,222679.9692,0.222679969,219239.2426,0.219239243,0.619834711,9.122454429,0.002335134,7859,100,100,100,0,NA,NA,NA,NA,83.22020018,1.315007467
2,2,352,1,1,1920.491,1,1,1,1,14,340.775,3.129434698,15.69727096,2.639668616,4.980409357,1.188888889,3.212962963,18.75107212,1.681384016,7.339766082,13.7711501,20.89668616,9.003411306,9.902631579,4.971247563,1.463814709,0,0.813563317,55.57830494,20030614,0.1692,0.4311,0.18,0,0.7803,269.8863636,275.6227273,352,1639,476480.9688,703638.0625,227157,596273.9557,20595.38888,977293013.4,0.786372007,4.968692449,10.86924494,22.77900552,10.80724371,1.132596685,0.831562301,0.894033572,0.998557419,1.113779153,1.058435101,0.987074563,0.928055838,0.796173199,0.875590937,0.990619785,1.012111545,1.092271106,1.079452291,0.822465162,0.794825283,0.871869767,0.90134392,1.10028172,0.917980271,0.918515836,1.011615854,1.057819663,0.950052976,1.124876904,1.106326004,1.196946189,1.12348121,1.225031319,1.153760478,1.232818274,1.232818274,1.182045759,1.182287654,1.084659589,1.151639751,1.066562237,1.066592859,1.136737676,1.27112523,1.273573878,1.308635985,0.86463058,1.02138309,1.113526666,1.076467593,1.166617868,1.101139344,1.22090898,1.247509731,1.148989411,1.066567322,1.037220596,1.051219139,1.006875207,1.063058336,1.254368632,1.161656054,1.242793767,1.091203652,0.936425572,1.023159673,1.085576437,1.069019963,1.032907867,1.23098515,0.97007812,360,4010.67,65.964,73.123,0.005,0.336,0.264,2,0.095,0.022,0,4,108.702,1.126,17.042,51.023,0,1,5031705,8.58,25.588,0.409,0.077,6.717,1,1,0.274,0.165,0.444,341.792,5669609.472,5.669609472,1023227.693,1.023227693,18.81829343,0.977299585,0.000249335,1877,100,100,100,1,0,17.59139254,42.13138513,16.53590899,61.28684211,5.793683892
3,3,362,1,1,2087.2,1,1,1,1,48,457.819,7.383877734,2.307611627,4.33862751,5.918489661,2.556338028,0.742882829,0.207072221,24.5489961,8.748726401,5.39706323,15,0.168115073,3.913844771,4.659574468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,1176,437019.6563,715640.25,278621,605642.8783,32924.5359,712236024.8,1.820186599,4.306191688,34.51908397,12.28668363,3.49533503,1.425784563,0.613290092,0.601540742,0.720794364,0.828052428,0.740693166,0.741896504,0.658506499,0.574021073,0.604252582,0.773366157,0.773462851,0.7492262,0.71052366,0.593793653,0.582189184,0.643916242,0.643916242,0.74974689,0.710989208,0.633975526,0.748020136,0.807123299,0.807123299,0.852742286,0.827002325,0.95987854,0.821774623,0.931080634,0.839149479,0.947229698,0.867718604,0.867358746,0.867358746,0.818381893,0.82469652,0.713843875,0.715072287,0.73716682,0.820110517,0.867829101,0.916007975,0.913118969,0.723396189,0.776083736,0.73330796,0.794644927,0.781674102,0.911289315,0.922813678,0.901844177,0.688428377,0.688472,0.681430516,0.552883865,0.699984356,0.951276167,0.818787219,0.912119934,0.736334957,0.602364194,0.792828584,0.796770204,0.7791851,0.722993343,0.977399882,0.723236161,370,3826.822,234.251,131.59,0.008,0.444,1.477,4.714,0.154,0.042,0,4,263.721,1.097,41.291,65.093,2.296,1,5031603,8.761,13.793,0.672,0.488,77.453,0,1,0.328,0.213,0.741,467.532,7088819.265,7.088819265,667771.4422,0.667771442,0.671755725,1.497518367,0.000261313,3126,100,100,100,0,NA,NA,NA,NA,66.24168415,0.989375824
4,4,373,1,1,15539.58,1,1,1,1,14,336.891,4.833478488,14.39278871,3.415781223,5.798641352,0.157289671,3.246646926,16.14631597,2.287754747,3.937118969,12.81449225,21.80264762,10.18515938,8.845323114,6.584567149,0.686498667,0,0.664495386,96.79484668,20030614,0.0675,0.2601,0.1395,0,0.4671,289.3385519,285.6360078,373,773,468432.25,699109.875,230678,601761.008,17010.42541,465161259.2,0.848761408,7.863102999,5.495436767,26.4928292,9.646675359,1.475880052,0.881019513,0.975719106,1.166026021,1.203983599,1.194302614,1.060398525,0.946610854,0.825976824,0.917026154,1.121429348,1.104519325,1.116468605,1.116468605,0.900066853,0.851707961,0.961853737,0.981424577,1.205787276,1.044776606,1.00489404,1.153154845,1.16801961,1.060017987,1.237285684,1.190706112,1.364478652,1.252149091,1.373576108,1.243749023,1.431300576,1.431300576,1.388490198,1.388490198,1.305129271,1.31010182,1.150355204,1.150526925,1.273050181,1.435736834,1.443563604,1.484139301,0.933186169,1.182787863,1.192840671,1.156209023,1.324235434,1.186992995,1.362422368,1.378807899,1.312935722,1.17357951,1.174469732,1.152513813,1.152513813,1.181754143,1.39250827,1.28337654,1.383704658,1.223299491,1.210633591,1.142254883,1.205309407,1.123002871,1.136481363,1.40110846,1.050888376,381,1407.107,26.686,71.839,0.003,0.383,0.119,1.349,0.076,0.023,0,3,182.135,1.054,14.736,63.476,0,1,5031706,10.891,47.247,0.296,0.03,2.197,1,1,0.301,0.089,0.342,335.854,1128514.428,1.128514428,573267.2631,0.573267263,21.50586701,1.744387068,0.000710678,27107,100,100,100,1,0,24.33419959,45.37150763,11.77461271,59.51489288,8.560819319
5,5,376,5,5,630.311,5,5,5,0,NA,468.863,6.67427756,17.26079201,3.619336425,4.516589369,0.334998216,8.180877631,2.117374242,5.5697467,16.96111309,10.78844096,18.46057795,3.71494827,13.39564752,4.760970389,0.222626079,0,0.059012289,26.5073576,20100601,0.054,0.0135,0.0009,0,0.0684,111.5901639,73.86885246,376,254,534265.1875,663882.125,129617,613573.0667,18698.71282,155847558.9,0.484,7.068,16.064,37.396,7.428,0.316,0.576373498,0.611714982,0.630633677,0.685628051,0.608463858,0.635688191,0.590073863,0.552786489,0.549258897,0.672158654,0.672158654,0.60566883,0.59362565,0.549306985,0.51491234,0.551790821,0.560935988,0.71022101,0.592455225,0.587186298,0.622236577,0.640083301,0.640135298,0.66745895,0.655076795,0.733718331,0.645327764,0.704637034,0.681579649,0.749862759,0.749862759,0.656680333,0.656680333,0.634992649,0.608541282,0.555409579,0.556237136,0.588986477,0.724345856,0.734226248,0.778076862,0.778331917,0.617773793,0.672063371,0.656377838,0.734788001,0.621996012,0.71425878,0.72104565,0.667547297,0.56261409,0.573494203,0.577118426,0.553004566,0.610317855,0.799507817,0.693760996,0.71394001,0.625561065,0.616096793,0.680523498,0.680524293,0.623876884,0.615036409,0.744020237,0.6844987,384,2377.142,13.426,76.648,0.031,0.409,0.063,0.979,0.063,0.04,0,3,214.83,1.035,9.384,43.426,0,1,5031607,9.646,44.396,0.866,0.053,16.326,0,1,0.338,0.227,0.154,465.167,3782072.935,3.782072935,279664.1437,0.279664144,2.172,17.87858798,0.002103366,2254,100,100,100,1,0,0.321814584,4.827218756,19.30887502,81.94149126,2.636855939
6,6,392,5,5,1309.87,5,5,5,0,NA,0,7.555052919,13.9935985,4.448105155,5.403465347,1.01066917,1.444178901,2.033287812,7.187094572,18.77022875,13.89723455,19.43342438,0.945971321,10.83031751,4.617958348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,1309,527298.875,663950.9375,136652,600759.3984,15670.27217,786394052.5,0.873660031,6.190658499,33.0237366,14.92725881,5.228177642,2.137825421,0.752428752,0.834565974,0.957812783,1.06211658,0.994391138,0.858184387,0.881432609,0.71056863,0.809085518,0.954122829,0.988066832,0.994305409,0.962343422,0.758443155,0.714641801,0.789201671,0.828375973,1.035156967,0.816401654,0.859376449,0.97530504,1.01197674,0.938624704,1.07250388,1.041509503,1.155347931,1.084194934,1.202202073,1.120422861,1.213127437,1.213127437,1.154237615,1.154237632,1.01519962,1.116775923,1.062418789,1.062427989,1.088981846,1.21845764,1.219078155,1.275324047,0.912697962,0.981437112,1.035848693,1.040653459,1.183156075,1.024764187,1.16578225,1.226295654,1.049413558,0.931363674,0.922413252,0.963028315,0.963028315,0.949166799,1.186471221,1.05777047,1.163403162,1.001016431,0.828116917,0.974754668,1.026346023,1.012631394,1.097046674,1.174272235,0.898606892,402,7555.509,23.117,617.746,0.01,0.367,0.097,4.635,0.332,0.028,0,4,155.372,1.024,84.049,59.618,0,1,3070110,17.229,12.133,1.332,2.028,258.124,1,1,0.213,0.123,0.317,337.764,15699755.73,15.69975573,1168488.69,1.16848869,3.981623277,4.279031576,0.000661769,1121,100,100,100,0,NA,NA,NA,NA,82.21782178,2.167422957
7,7,696,1,1,2266.587,1,1,1,0,NA,1270.176,1.873784399,15.92489137,0,0,10.38671633,1.318849576,2.827850197,0.314504449,0,4.898199876,20.87543969,4.869439272,3.574591351,1.95965239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,453,443720.4375,673411.875,229691,600547.6878,38009.14956,272048102.6,5.639198218,0,0.051224944,21.99554566,12.18708241,0.518930958,0.492748868,0.490341526,0.491495625,0.523080259,0.478279704,0.453636803,0.442229793,0.5157762,0.509675662,0.422764939,0.436336407,0.495265831,0.512833357,0.52178906,0.445789913,0.406150373,0.442791545,0.47759204,0.482013235,0.447961458,0.452072657,0.445383233,0.462094618,0.462367057,0.475913226,0.495667094,0.50446839,0.534828942,0.535647242,0.528041567,0.505648321,0.451036677,0.454548469,0.440015001,0.444159625,0.430432451,0.43243949,0.462612019,0.541762696,0.561537633,0.564118191,0.605248515,0.603094123,0.599612285,0.681056245,0.683679148,0.600170356,0.545500095,0.520600969,0.495252502,0.419866329,0.545093942,0.480907095,0.4607441,0.611803983,0.798636472,0.790390623,0.796961434,0.534426457,0.496761441,0.503246613,0.500343954,0.468497931,0.50052966,0.510703016,0.52635508,716,3876.381,5.357,213.508,0.06,0.528,0.033,0.691,0.051,0.166,1,4,77.707,1.026,5.231,39.167,8.449,0,5031302,8.233,62,0.847,0.032,18.256,0,1,0.544,0.297,0.05,1200.667,9282045.922,9.282045922,483842.3619,0.483842362,12.71269488,2.066788853,0.000257973,4685,100,100,100,0,NA,NA,NA,NA,42.56321126,134.3342105
8,8,725,1,1,1210.18,1,1,1,0,NA,396.249,10.46153846,12.12245948,8.816568047,9.504759455,0.515564703,1.333161821,0.74324672,11.46411114,17.9400566,10.94468742,19.14458451,0.52302547,11.99048109,4.234885516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,343,497785.0313,670818.4375,173033,604538.2688,27701.93784,207356626.2,0.650887574,4.636094675,25.91420118,28.27514793,3.75443787,1.834319527,0.576570589,0.628307838,0.729383197,0.893657523,0.777487653,0.687744075,0.658423619,0.555454815,0.606551242,0.760518892,0.762172496,0.75591761,0.755917723,0.598050733,0.579243931,0.636191218,0.630821676,0.814109181,0.67770518,0.651578827,0.777347676,0.832230178,0.701527843,0.87120571,0.810825199,0.979758093,0.936206838,1.072131217,1.072131217,1.002687019,1.002687019,0.965589753,0.965589753,0.86384853,0.878583347,0.782569929,0.787249323,0.794255665,0.960095803,0.978319553,1.078740491,0.61380717,0.778939432,0.805635583,0.828552164,0.875561373,0.845114789,0.941802908,1.004843813,0.897781804,0.678184274,0.742197538,0.752055552,0.752055552,0.726376821,0.956367288,0.881843678,0.959102375,0.839125928,0.832044292,0.810964795,0.803554255,0.796789262,0.760099425,1.012810097,0.764022566,748,2669.422,11.059,80.543,0.02,0.4,0.05,0.869,0.059,0.034,0,4,255.506,1.021,78.895,65.523,0,1,5050701,89.945,74.395,0.634,0.032,6.771,1,1,0.281,0.187,0.217,397.172,2566631.004,2.566631004,390166.3405,0.390166341,5.097633136,2.563009404,0.000374613,3102,100,100,100,0,NA,NA,NA,NA,91.93979933,2.12676081
9,9,758,1,1,365.734,1,1,1,0,NA,440.401,13.44680851,12.88297872,8.177304965,8.414893617,1.19858156,4.932624113,0.195035461,8.709219858,13.32624113,10.71631206,21.62056738,0.081560284,11.57092199,4.971631206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,85,513930.9375,681107.5,167177,599946.3404,37283.15519,50995438.94,0.176470588,7.223529412,34.10588235,24.97647059,1.858823529,2.988235294,0.577152108,0.608137799,0.692055887,0.82535389,0.73752958,0.685896063,0.646904236,0.538931243,0.577273525,0.730133913,0.730962307,0.700555524,0.70057975,0.600494633,0.566211939,0.620224053,0.620224053,0.778680331,0.638238766,0.618193716,0.734813788,0.782705463,0.737123784,0.805620024,0.781608636,0.907388691,0.831938958,0.996661366,0.996661366,0.937199737,0.937199737,0.890759687,0.890759687,0.769680856,0.774373584,0.706826501,0.709032028,0.69726941,0.885335702,0.885335702,1.00200988,0.575085899,0.718566128,0.744211204,0.760477376,0.80006025,0.785221178,0.857128066,0.9226852,0.801947506,0.631176089,0.677096731,0.694936267,0.694936267,0.660113809,0.852731265,0.824732628,0.89178054,0.759722723,0.759722723,0.76802314,0.751406404,0.733975577,0.724294641,0.940511606,0.698028784,782,450.416,2.446,83.046,0.036,0.392,0.01,0.387,0.037,0.056,0,3,268.905,1.032,5.168,35.238,0,1,5050701,13.337,91.199,0.632,0.009,3.426,0,1,0.314,0.153,0.083,432.01,2077411.716,2.077411716,28318.15021,0.02831815,1.364705882,35.31304103,0.00222017,12915,100,100,100,0,NA,NA,NA,NA,89.73404255,3.072256196
10,10,787,1,1,1892.478,1,1,1,0,NA,0,7.076578529,15.31541685,2.924577373,3.847998844,0.468862881,6.5775177,2.051582141,9.419159081,12.2047392,10.31324953,14.82805953,5.397196937,12.20502818,4.2733709,1.10890926,0,0.029832747,2.690278718,20170608,0.009,0.0144,0.0063,0.0054,0.0351,240.6333333,347.0666667,787,1231,427157.9688,670736.625,243579,595420.5671,33379.44251,732962718.1,1.377526273,3.848827809,26.1851253,25.54082458,5.362166532,0.981406629,0.580942186,0.597108835,0.638484988,0.756162024,0.645537954,0.657480642,0.654317588,0.541634909,0.553048035,0.704906627,0.704906627,0.639107218,0.622458371,0.572540008,0.537633717,0.575967075,0.576548396,0.704205187,0.593969442,0.579161225,0.654034269,0.689483543,0.689484399,0.724823824,0.724566022,0.804837017,0.719628387,0.810071924,0.790372143,0.839859308,0.843114613,0.779848557,0.778614394,0.737621076,0.667853534,0.619958244,0.621209459,0.624146222,0.771489809,0.772682516,0.881345799,0.882007725,0.652882945,0.688368884,0.68398605,0.749303123,0.679209999,0.775815893,0.814661848,0.709869356,0.627271022,0.601545349,0.612674212,0.612674212,0.618911596,0.807413946,0.745626452,0.784617014,0.652175617,0.571871887,0.717345773,0.717345799,0.653865218,0.653867261,0.836073104,0.638404953,811,5024.813,44.713,690.44,0.011,0.417,0.232,6.94,0.403,0.026,0,4,95.559,1.086,150.342,105.236,0,1,3070103,21.566,15.099,1.649,4.597,560.933,0,1,0.303,0.168,0.436,410.396,9975833.95,9.97583395,692900.2463,0.692900246,2.115602264,1.443209185,0.000199012,2731,100,100,100,1,0.77933296,0.909221787,2.078221227,1.298888267,73.97355873,2.420916884
