"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","Burned_numerical","Time_Since_Burn_min","Z_mean"
"1",157,1,1,1004.962,1,1,1,1,6,401.042
"2",256,1,1,7342.114,1,1,1,1,6,331.7
"3",296,1,1,1538.144,1,1,1,0,NA,392.606
"4",299,1,1,1312.918,1,1,1,0,NA,388.48
"5",321,1,1,130.928,1,1,1,1,48,411.874
"6",324,5,5,918.849,5,5,5,1,7,0
"7",328,2,2,1722.997,2,2,2,1,48,397.814
"8",330,2,2,337.508,2,2,2,1,48,437.762
"9",344,2,2,1111.26,2,2,2,0,NA,0
"10",345,1,1,5320.878,1,1,1,0,NA,0
"11",352,1,1,1920.491,1,1,1,1,14,340.775
"12",353,2,2,2694.574,2,2,2,1,14,343.258
"13",362,1,1,2087.2,1,1,1,1,48,457.819
"14",373,3,3,9008.237,3,3,3,1,14,336.723
"15",374,1,1,514.148,1,1,1,1,14,348.352
"16",376,6,6,543.543,6,6,6,0,NA,463.806
"17",377,2,2,229.264,2,2,2,0,NA,471.211
"18",378,1,1,599.66,1,1,1,1,48,533.376
"19",392,5,5,1309.87,5,5,5,0,NA,0
"20",408,1,1,14224.623,1,1,1,1,14,338.893
"21",415,1,1,327.364,1,1,1,1,14,368.883
"22",489,2,2,269.893,2,2,2,1,14,390.167
"23",492,1,1,5580.677,1,1,1,1,14,344.212
"24",696,4,4,842.245,4,4,4,0,NA,1323.438
"25",725,1,1,1210.18,1,1,1,0,NA,396.249
"26",734,1,1,142.897,1,1,1,1,14,395.924
"27",758,1,1,365.734,1,1,1,0,NA,440.401
"28",787,2,2,1535.197,2,2,2,0,NA,0
"29",862,2,2,1729.291,2,2,2,1,49,441.505
"30",875,3,3,461.293,3,3,3,1,49,442.608
"31",887,5,5,2384.494,5,5,5,1,49,404.313
"32",901,2,2,617.353,2,2,2,1,49,439.192
"33",902,2,2,347.378,2,2,2,1,49,437.685
"34",1003,2,2,44.305,2,2,2,0,NA,581.121
"35",1040,2,2,225.876,2,2,2,0,NA,978.629
"36",1061,1,1,110.202,1,1,1,0,NA,571.731
"37",1082,3,3,498.867,3,3,3,1,13,0
"38",1250,3,3,171.829,3,3,3,0,NA,514.051
"39",1252,1,1,2276.312,1,1,1,1,48,368.229
"40",1264,1,1,10636.554,1,1,1,0,NA,515.957
"41",1337,1,1,6761.982,1,1,1,1,48,352.891
"42",1342,2,2,2871.029,2,2,2,0,NA,256.283
"43",1365,1,1,2376.817,1,1,1,1,48,331.704
"44",1396,1,1,2185.161,1,1,1,0,NA,411.446
"45",1418,2,2,1202.274,2,2,2,1,13,448.842
"46",1423,1,1,5927.485,1,1,1,1,48,321.458
"47",1435,1,1,1602.481,1,1,1,0,NA,744.352
"48",1439,1,1,8393.409,1,1,1,0,NA,491.411
"49",1462,3,3,309.546,3,3,3,1,51,271.272
"50",1496,1,1,3958.437,1,1,1,1,48,304.498
"51",1525,1,1,220.991,1,1,1,1,51,311.002
"52",1527,6,6,1032.669,6,6,6,1,51,293.493
"53",1535,3,3,201.661,3,3,3,1,51,282.25
"54",1536,1,1,381.969,1,1,1,1,51,274.459
"55",1545,1,1,6923.334,1,1,1,0,NA,486.244
"56",1556,1,1,2221.726,1,1,1,0,NA,487.901
"57",1560,1,1,708.223,1,1,1,0,NA,584.119
"58",1569,1,1,3704.56,1,1,1,0,NA,487.2
"59",1585,1,1,1905.839,1,1,1,0,NA,572.103
"60",1595,3,3,2546.529,3,3,3,1,48,291.465
"61",1596,2,2,2590.1,2,2,2,1,48,285.347
"62",1615,1,1,3724.656,1,1,1,1,13,498.46
"63",1616,1,1,962.796,1,1,1,1,13,517.408
"64",1628,2,2,324.268,2,2,2,0,NA,1101.832
"65",1663,2,2,568.522,2,2,2,1,13,526.793
"66",1709,2,2,66297.529,2,2,2,1,51,319.405
"67",1720,1,1,2879.173,1,1,1,0,NA,433.689
"68",1800,1,1,5999.356,1,1,1,0,NA,165.843
"69",1802,1,1,14156.062,1,1,1,0,NA,136.077
"70",1811,1,1,4058.606,1,1,1,0,NA,282.241
"71",1821,6,6,482.284,6,6,6,1,13,588.011
"72",1835,1,1,258.285,1,1,1,0,NA,336.547
"73",1854,1,1,1063.078,1,1,1,0,NA,471.249
"74",1855,1,1,193.718,1,1,1,1,51,339.908
"75",1856,2,2,287.656,2,2,2,0,NA,342.227
"76",1862,1,1,5616.94,1,1,1,0,NA,290.803
"77",1869,1,1,2914.629,1,1,1,0,NA,709.515
"78",1871,3,3,5304.605,3,3,3,0,NA,152.098
"79",1888,4,4,1327.892,4,4,4,0,NA,434.038
"80",1905,1,1,286.006,1,1,1,0,NA,364.898
"81",1929,1,1,84.938,1,1,1,1,4,348.616
"82",1948,1,1,3262.59,1,1,1,0,NA,380.998
"83",1971,2,2,3631.546,2,2,2,0,NA,300.569
"84",1981,1,1,153.088,1,1,1,1,4,338.836
"85",1986,1,1,23627.65,1,1,1,0,NA,110.364
"86",1995,3,3,2160.719,3,3,3,0,NA,299.02
"87",2005,1,1,18086.717,1,1,1,0,NA,113.014
"88",2016,1,1,2002.518,1,1,1,0,NA,303.486
"89",2103,2,2,6022.749,2,2,2,1,51,138.215
"90",2183,1,1,604.927,1,1,1,0,NA,997.065
"91",2202,2,2,17234.671,2,2,2,0,NA,395.897
"92",2204,2,2,15964.805,2,2,2,0,NA,334.185
"93",2206,7,7,1088.232,7,7,7,0,NA,349.456
"94",2215,1,1,1041.959,1,1,1,1,0,288.01
"95",2218,1,1,11699.693,1,1,1,0,NA,360.585
"96",2229,2,2,1987.556,2,2,2,0,NA,151.494
"97",2231,3,3,473.523,3,3,3,1,-1,279.293
"98",2246,1,1,2157.2,1,1,1,0,NA,359.339
"99",2262,2,2,3213.707,2,2,2,1,31,369.233
"100",2282,1,1,885.255,1,1,1,0,NA,430.732
"101",2285,2,2,10099.479,2,2,2,0,NA,366.155
"102",2289,1,1,4937.681,1,1,1,0,NA,378.968
"103",2292,7,7,732.58,7,7,7,0,NA,450.834
"104",2302,1,1,281.025,1,1,1,0,NA,418.458
"105",2303,1,1,1190.204,1,1,1,0,NA,424.969
"106",2304,2,2,706.302,2,2,2,0,NA,408.797
"107",2312,1,1,372.628,1,1,1,0,NA,485.339
"108",2316,1,1,137.581,1,1,1,0,NA,414.936
"109",2317,2,2,99.23,2,2,2,0,NA,416.094
"110",2337,3,3,2871.245,3,3,3,0,NA,400.21
"111",2359,1,1,47394.386,1,1,1,0,NA,155.234
"112",2379,6,6,945.831,6,6,6,0,NA,422.144
"113",2381,1,1,90.869,1,1,1,1,4,312.8
"114",2382,2,2,409.566,2,2,2,1,4,313.616
"115",2386,6,6,441.268,6,6,6,1,4,291.59
"116",2391,10,10,865.005,10,10,10,1,4,330.246
"117",2405,1,1,132.791,1,1,1,0,NA,260.625
"118",2417,2,2,1781.933,2,2,2,1,31,454.639
"119",2421,5,5,1485.168,5,5,5,0,NA,554.102
"120",2449,4,4,2461.402,4,4,4,0,NA,435.696
"121",2467,1,1,1522.37,1,1,1,0,NA,422.114
"122",2490,1,1,383.099,1,1,1,0,NA,436.93
"123",2511,4,4,801.617,4,4,4,0,NA,602.884
"124",2516,1,1,694.622,1,1,1,0,NA,450.412
"125",2524,2,2,975.221,2,2,2,0,NA,279.736
"126",2540,1,1,787.701,1,1,1,1,4,274.014
"127",2550,1,1,2191.98,1,1,1,0,NA,347.378
"128",2581,1,1,4274.81,1,1,1,0,NA,381.186
"129",2594,1,1,126.216,1,1,1,1,4,255.999
"130",2622,2,2,3101.498,2,2,2,0,NA,136
"131",2627,1,1,2794.145,1,1,1,0,NA,233.482
"132",2654,1,1,1227.745,1,1,1,0,NA,135.819
"133",2663,2,2,548.406,2,2,2,1,4,241.619
"134",2735,1,1,477.203,1,1,1,0,NA,423.084
"135",2765,1,1,425.312,1,1,1,1,4,224.103
"136",2782,3,3,2991.246,3,3,3,0,NA,247.827
"137",2803,1,1,471.932,1,1,1,0,NA,509.047
"138",2822,2,2,16050.567,2,2,2,0,NA,156.146
"139",2823,1,1,505.886,1,1,1,0,NA,495.334
"140",2825,1,1,113.848,1,1,1,0,NA,501.21
"141",2849,3,3,996.609,3,3,3,0,NA,315.514
"142",2871,4,4,2841.962,4,4,4,1,13,289.395
"143",2928,6,6,5022.866,6,6,6,0,NA,490.075
"144",2951,6,6,1213.338,6,6,6,0,NA,492.051
"145",2952,2,2,2802.591,2,2,2,0,NA,491.654
"146",2965,1,1,2965.51,1,1,1,1,4,239.996
"147",2971,1,1,1238.686,1,1,1,0,NA,494.594
"148",3003,1,1,1015.984,1,1,1,1,4,267.02
"149",3031,1,1,794.159,1,1,1,0,NA,419.955
"150",3037,1,1,4847.123,1,1,1,1,58,184.4
"151",3054,8,8,980.195,8,8,8,1,34,428.583
"152",3055,1,1,3258.711,1,1,1,0,NA,548.634
"153",3059,1,1,2996.425,1,1,1,1,34,352.019
"154",3083,3,3,2457.048,3,3,3,0,NA,394.013
"155",3091,1,1,11602.896,1,1,1,1,4,277.563
"156",3108,1,1,3335.124,1,1,1,0,NA,564.194
"157",3129,8,8,745.433,8,8,8,1,34,403.072
"158",3130,1,1,303.424,1,1,1,1,34,391.634
"159",3137,3,3,745.119,3,3,3,0,NA,531.439
"160",3152,8,8,1059.89,8,8,8,0,NA,415.448
"161",3163,2,2,427.359,2,2,2,0,NA,512.448
"162",3224,2,2,1461.069,2,2,2,0,NA,339.01
"163",3226,9,9,709.45,9,9,9,1,34,384.49
"164",3265,1,1,3250.525,1,1,1,1,34,364.18
"165",3268,1,1,1827.027,1,1,1,0,NA,202.236
"166",3276,1,1,2718.414,1,1,1,0,NA,204.398
"167",3299,2,2,15167.838,2,2,2,0,NA,213.646
"168",3322,1,1,2999.092,1,1,1,0,NA,211.5
"169",3323,3,3,2131.298,3,3,3,0,NA,616.789
"170",3330,4,4,1770.131,4,4,4,1,34,321.78
"171",3336,3,3,619.582,3,3,3,1,34,344.438
"172",3337,3,3,575.969,3,3,3,0,NA,612.788
"173",3342,2,2,5051.965,2,2,2,1,34,326.015
"174",3362,1,1,6941.254,1,1,1,0,NA,227.2
"175",3379,3,3,1324.048,3,3,3,1,13,241.706
"176",3404,1,1,818.305,1,1,1,1,34,307.878
"177",3408,3,3,1831.655,3,3,3,0,NA,526.99
"178",3449,3,3,1312.615,3,3,3,1,10,536.066
"179",3450,1,1,15099.909,1,1,1,0,NA,531.497
"180",3459,1,1,209.607,1,1,1,0,NA,653.909
"181",3487,1,1,1490.608,1,1,1,1,59,253.399
"182",3505,1,1,2883.556,1,1,1,0,NA,599.883
"183",3512,1,1,1894.143,1,1,1,0,NA,129.817
"184",3516,1,1,7232.398,1,1,1,1,67,291.395
"185",3519,1,1,3583.413,1,1,1,0,NA,190.741
"186",3521,1,1,1014.849,1,1,1,0,NA,241.613
"187",3538,1,1,49745.874,1,1,1,0,NA,132.256
