"","uRCA","LENGTH_M_sum","AREA_SQKM_mean","OUT_DIST_min","GRADIENT_mean","MNANPRC_M_mean","MEANANNCMS_mean","WIDTH_M_mean","DEPTH_M_mean","MAX_GRAD_D_max","LAKE_max","STRM_ORDER_max","AZIMTH_DEG_mean","SINUOSITY_mean","VAL_WIDTH_mean","FP_WIDTH_mean","DROPMAX_max","Fish_min","Basin_ID_min","VWI_Floor_mean","ValCnstrnt_mean","FlowVel_mean","BFQ_mean","StrmPow_mean","BeavHab_min","FISH_RESID_min","GEP_Cum_mean","GEP_mean","IP_CHIN2_mean","ELEV_M_mean","Shape_Area.x","Area_km2_RCA","Shape_Area.y","Area_km2_VB"
"1",1,352.487,3.897,21.833,0.001,0.294,0.01,0.367,0.035,0.012,0,1,150.313,1.251,33.122,74.08,0,1,5031102,90.377,2032.823,0.083,0.001,0.016,1,1,0.05,0.028,0.152,337.999,1460506.47374498,1.46050647374498,1460506.47374521,1.46050647374521
"2",2,7005.889,241.814,21.833,0.001,0.365,1.173,4.204,0.144,0.015,0,4,241.638,1.172,83.759,334.918,0,1,5031102,19.94,79.568,0.306,0.185,2.67,1,1,0.24,0.065,0.74,339.043,11418487.4150524,11.4184874150524,5499208.20701628,5.49920820701628
"3",3,332.132,248.838,21.528,0,0.363,1.202,4.254,0.145,0.012,0,4,225.357,1.283,44.076,360.642,0,1,5031102,10.357,84.77,0.282,0.174,0,1,1,0.236,0.042,0.75,336.796,59725.3619708471,0.059725361970847,59725.3619717021,0.059725361971702
"4",4,2858.061,2.624,21.485,0.001,0.303,0.007,0.336,0.034,0.012,0,1,278.033,1.07,16.61,52.403,0,1,5031102,48.324,155.712,0.107,0.001,0.011,1,1,0.017,0.018,0.138,338.357,2323827.46031206,2.32382746031206,2323827.46031339,2.32382746031339
"5",5,546.127,253.508,21.024,0,0.362,1.217,4.281,0.146,0.012,0,4,249.14,1.37,45.212,409.607,0,1,5031102,10.568,95.668,0.283,0.176,0,1,1,0.232,0.044,0.754,336.981,262420.445477243,0.262420445477243,262420.445476484,0.262420445476484
"6",6,2119.863,4.977,21.073,0.001,0.312,0.015,0.468,0.041,0.012,1,1,214.248,1.138,7.977,75.61,0,1,5031102,18.111,165.842,0.129,0.002,0.016,1,1,0.116,0.028,0.089,337.573,1866248.23269987,1.86624823269987,1320407.70929531,1.32040770929531
"7",7,4213.954,218.822,28.358,0.001,0.369,1.072,4.019,0.141,0.015,0,4,237.182,1.32,50.684,77.106,0,1,5031102,12.598,19.17,0.314,0.177,2.356,1,1,0.249,0.059,0.725,341.594,2473230.90907423,2.47323090907423,2473143.42458167,2.47314342458167
"8",8,2190.513,11.862,28.311,0.01,0.341,0.043,0.813,0.057,0.018,0,3,158.218,1.012,8.867,95.893,0,1,5031102,10.885,117.93,0.448,0.021,2.23,1,1,0.216,0.021,0.25,350.418,3293308.96874275,3.29330896874275,979879.96441685,0.97987996441685
"9",9,5249.579,212.371,32.257,0.001,0.371,1.044,3.966,0.139,0.021,0,4,243.699,1.335,30.67,64.922,0,1,5031102,7.729,16.359,0.341,0.189,5.476,1,1,0.252,0.075,0.713,346.536,7861726.67260155,7.86172667260155,1984088.03728662,1.98408803728662
"10",10,638.762,2.551,32.264,0.004,0.325,0.008,0.341,0.035,0.015,1,1,172.932,1.071,9.096,52.198,0,1,5031102,27.105,149.866,0.195,0.002,0.131,1,1,0.189,0.058,0.094,344.699,1187631.39921241,1.18763139921241,508530.061150287,0.508530061150287
"11",11,2437.792,193.637,37.079,0,0.373,0.952,3.788,0.136,0.021,1,4,263.721,1.101,25.926,123.086,0,1,5031102,6.841,32.495,0.274,0.142,0.163,1,1,0.256,0.081,0.625,349.368,3103937.5186969,3.10393751869691,584326.154139691,0.584326154139691
"12",12,5783.609,10.823,37.043,0.019,0.369,0.043,0.808,0.056,0.067,0,3,152.311,1.015,9.021,66.751,0,1,5031102,11.316,78.309,0.569,0.025,5.538,0,1,0.287,0.179,0.211,380.992,9275128.03066319,9.27512803066319,1382228.49625937,1.38222849625937
