"","HUC12","POP_rate","TOTAL_LENGTH_KM","PASS_LENGTH_KM","basin"
"1",190803031401,0,2287.8,2287.8,"good"
"2",190803031401,5,2287.8,2287.8,"good"
"3",190803031401,10,2287.8,2287.8,"good"
"4",190803031401,15,2287.8,2287.8,"good"
"5",190803031401,20,2287.8,2287.8,"good"
"6",190803031401,25,2287.8,2287.8,"good"
"7",190803031401,30,2287.8,2287.8,"good"
"8",190803031401,35,2287.8,2287.8,"good"
"9",190803031401,40,2287.8,2287.8,"good"
"10",190803031401,45,2287.8,2287.8,"good"
"11",190803031401,50,2287.8,2287.8,"good"
"12",190803031401,55,2287.8,2287.8,"good"
"13",190803031401,60,2287.8,2287.8,"good"
"14",190803031401,65,2287.8,2287.8,"good"
"15",190803031401,70,2287.8,2287.8,"good"
"16",190803031401,75,2287.8,2287.8,"good"
"17",190803031401,80,2287.8,2287.8,"good"
"18",190803031401,85,2287.8,2287.8,"good"
"19",190803031401,90,2287.8,2287.8,"good"
"20",190803031401,95,2287.8,2287.8,"good"
"21",190803031401,100,2287.8,2287.8,"good"
"22",190803031402,0,5874.48,5874.48,"good"
"23",190803031402,5,5874.48,5874.48,"good"
"24",190803031402,10,5874.48,5874.48,"good"
"25",190803031402,15,5874.48,5874.48,"good"
"26",190803031402,20,5874.48,5874.48,"good"
"27",190803031402,25,5874.48,5874.48,"good"
"28",190803031402,30,5874.48,5874.48,"good"
"29",190803031402,35,5874.48,5874.48,"good"
"30",190803031402,40,5874.48,5874.48,"good"
"31",190803031402,45,5874.48,5874.48,"good"
"32",190803031402,50,5874.48,5874.48,"good"
"33",190803031402,55,5874.48,5874.48,"good"
"34",190803031402,60,5874.48,5874.48,"good"
"35",190803031402,65,5874.48,5874.48,"good"
"36",190803031402,70,5874.48,5874.48,"good"
"37",190803031402,75,5874.48,5874.48,"good"
"38",190803031402,80,5874.48,5874.48,"good"
"39",190803031402,85,5874.48,5874.48,"good"
"40",190803031402,90,5874.48,5874.48,"good"
"41",190803031402,95,5874.48,5874.48,"good"
"42",190803031402,100,5874.48,5874.48,"good"
"43",190803031403,0,3402.18,3402.18,"good"
"44",190803031403,5,3402.18,3402.18,"good"
"45",190803031403,10,3402.18,3402.18,"good"
"46",190803031403,15,3402.18,3402.18,"good"
"47",190803031403,20,3402.18,3402.18,"good"
"48",190803031403,25,3402.18,3402.18,"good"
"49",190803031403,30,3402.18,3402.18,"good"
"50",190803031403,35,3402.18,3402.18,"good"
"51",190803031403,40,3402.18,3402.18,"good"
"52",190803031403,45,3402.18,3402.18,"good"
"53",190803031403,50,3402.18,3402.18,"good"
"54",190803031403,55,3402.18,3402.18,"good"
"55",190803031403,60,3402.18,3402.18,"good"
"56",190803031403,65,3402.18,3402.18,"good"
"57",190803031403,70,3402.18,3402.18,"good"
"58",190803031403,75,3402.18,3402.18,"good"
"59",190803031403,80,3402.18,3402.18,"good"
"60",190803031403,85,3402.18,3402.18,"good"
"61",190803031403,90,3402.18,3402.18,"good"
"62",190803031403,95,3402.18,3402.18,"good"
"63",190803031403,100,3402.18,3402.18,"good"
"64",190803031404,0,3409.56,3409.56,"good"
"65",190803031404,5,3409.56,3409.56,"good"
"66",190803031404,10,3409.56,3409.56,"good"
"67",190803031404,15,3409.56,3409.56,"good"
"68",190803031404,20,3409.56,3409.56,"good"
"69",190803031404,25,3409.56,3409.56,"good"
"70",190803031404,30,3409.56,3409.56,"good"
