"","HUC12","POP_rate","TOTAL_LENGTH_KM","PASS_LENGTH_KM","basin"
"1",190803031401,0,4575.6,4575.6,"good"
"2",190803031401,5,4575.6,4575.6,"good"
"3",190803031401,10,4575.6,4575.6,"good"
"4",190803031401,15,4575.6,4575.6,"good"
"5",190803031401,20,4575.6,4575.6,"good"
"6",190803031401,25,4575.6,4575.6,"good"
"7",190803031401,30,4575.6,4575.6,"good"
"8",190803031401,35,4575.6,4575.6,"good"
"9",190803031401,40,4575.6,4575.6,"good"
"10",190803031401,45,4575.6,4575.6,"good"
"11",190803031401,50,4575.6,4575.6,"good"
"12",190803031401,55,4575.6,4575.6,"good"
"13",190803031401,60,4575.6,4575.6,"good"
"14",190803031401,65,4575.6,4575.6,"good"
"15",190803031401,70,4575.6,4575.6,"good"
"16",190803031401,75,4575.6,4575.6,"good"
"17",190803031401,80,4575.6,4575.6,"good"
"18",190803031401,85,4575.6,4575.6,"good"
"19",190803031401,90,4575.6,4575.6,"good"
"20",190803031401,95,4575.6,4575.6,"good"
"21",190803031401,100,4575.6,4575.6,"good"
"22",190803031402,0,11748.96,11748.96,"good"
"23",190803031402,5,11748.96,11748.96,"good"
"24",190803031402,10,11748.96,11748.96,"good"
"25",190803031402,15,11748.96,11748.96,"good"
"26",190803031402,20,11748.96,11748.96,"good"
"27",190803031402,25,11748.96,11748.96,"good"
"28",190803031402,30,11748.96,11748.96,"good"
"29",190803031402,35,11748.96,11748.96,"good"
"30",190803031402,40,11748.96,11748.96,"good"
"31",190803031402,45,11748.96,11748.96,"good"
"32",190803031402,50,11748.96,11748.96,"good"
"33",190803031402,55,11748.96,11748.96,"good"
"34",190803031402,60,11748.96,11748.96,"good"
"35",190803031402,65,11748.96,11748.96,"good"
"36",190803031402,70,11748.96,11748.96,"good"
"37",190803031402,75,11748.96,11748.96,"good"
"38",190803031402,80,11748.96,11748.96,"good"
"39",190803031402,85,11748.96,11748.96,"good"
"40",190803031402,90,11748.96,11748.96,"good"
"41",190803031402,95,11748.96,11748.96,"good"
"42",190803031402,100,11748.96,11748.96,"good"
"43",190803031403,0,6804.36,6804.36,"good"
"44",190803031403,5,6804.36,6804.36,"good"
"45",190803031403,10,6804.36,6804.36,"good"
"46",190803031403,15,6804.36,6804.36,"good"
"47",190803031403,20,6804.36,6804.36,"good"
"48",190803031403,25,6804.36,6804.36,"good"
"49",190803031403,30,6804.36,6804.36,"good"
"50",190803031403,35,6804.36,6804.36,"good"
"51",190803031403,40,6804.36,6804.36,"good"
