"","V1","HUC12","POP_rate","TOTAL_LENGTH_KM","PASS_LENGTH_KM","basin"
"1",11,190803031401,50,4575.6,4575.6,"good"
"2",32,190803031402,50,11748.96,11748.96,"good"
"3",53,190803031403,50,6804.36,6804.36,"good"
"4",74,190803031404,50,6819.12,6819.12,"good"
"5",95,190803031405,50,25992.36,25992.36,"good"
"6",116,190803031406,50,2789.64,2789.64,"good"
"7",137,190803031407,50,5918.76,5918.76,"good"
"8",158,190803031501,50,8324.64,8324.64,"good"
"9",179,190803031502,50,12295.08,12295.08,"good"
"10",200,190803031503,50,13623.48,13623.48,"good"
"11",221,190803031504,50,31040.28,31040.28,"good"
"12",242,190803031505,50,7571.88,7571.88,"good"
"13",263,190803031506,50,24117.84,24117.84,"good"
"14",284,190803031507,50,13918.68,11675.16,"good"
"15",305,190803031508,50,12413.16,12413.16,"good"
"16",326,190803031509,50,14774.76,14774.76,"good"
"17",347,190803031510,50,10022.04,10022.04,"good"
"18",368,190803031511,50,8737.92,8737.92,"good"
"19",389,190803031601,50,4590.36,4590.36,"good"
"20",410,190803031602,50,5564.52,5564.52,"good"
"21",431,190803031603,50,10095.84,10095.84,"good"
"22",452,190803031604,50,14346.72,14346.72,"good"
"23",473,190803031701,50,18435.24,18435.24,"good"
"24",494,190803031702,50,45711.72,45711.72,"good"
"25",515,190803031703,50,12885.48,12885.48,"good"
"26",536,190803031704,50,23497.92,23497.92,"good"
"27",557,190803031705,50,27114.12,27114.12,"good"
"28",578,190803031706,50,18996.12,18996.12,"good"
"29",599,190803031707,50,20841.12,20841.12,"good"
"30",620,190803031708,50,16044.12,16044.12,"good"
"31",641,190803031801,50,26228.52,26228.52,"good"
"32",662,190803031802,50,28472.04,28472.04,"good"
"33",683,190803031803,50,4044.24,4044.24,"good"
"34",704,190803031804,50,8383.68,8383.68,"good"
"35",725,190803031805,50,23748.84,19660.32,"good"
"36",746,190803031806,50,14686.2,14686.2,"good"
"37",767,190803031807,50,33667.56,33667.56,"good"
"38",788,190803031808,50,12516.48,12516.48,"good"
"39",809,190803031809,50,15689.88,15689.88,"good"
"40",830,190803050101,50,57150.72,57150.72,"salc"
"41",851,190803050102,50,3571.92,3571.92,"salc"
"42",872,190803050103,50,37800.36,37800.36,"salc"
"43",893,190803050104,50,3158.64,3158.64,"salc"
"44",914,190803050105,50,9963,9963,"salc"
"45",935,190803050106,50,16413.12,16413.12,"salc"
"46",956,190803050107,50,21165.84,21165.84,"salc"
"47",977,190803050108,50,1845,1845,"salc"
"48",998,190803050201,50,42036.48,42036.48,"salc"
"49",1019,190803050202,50,32767.2,32767.2,"salc"
"50",1040,190803050203,50,18021.96,18021.96,"salc"
"51",1061,190803050204,50,52471.8,51881.4,"salc"
"52",1082,190803050205,50,4944.6,4944.6,"salc"
"53",1103,190803050206,50,34508.88,34508.88,"salc"
"54",1124,190803050207,50,9859.68,9859.68,"salc"
"55",1145,190803050301,50,17726.76,17726.76,"salc"
"56",1166,190803050302,50,18390.96,18390.96,"salc"
"57",1187,190803050303,50,5549.76,5549.76,"salc"
"58",1208,190803050304,50,38877.84,38877.84,"salc"
"59",1229,190803050305,50,23675.04,23675.04,"salc"
"60",1250,190803050306,50,13151.16,13151.16,"salc"
"61",1271,190803050307,50,38951.64,38951.64,"salc"
"62",1292,190803050308,50,24796.8,24796.8,"salc"
"63",1313,190803050309,50,16176.96,16176.96,"salc"
"64",1334,190803050310,50,11306.16,11306.16,"salc"
"65",1355,190803050401,50,16590.24,16590.24,"salc"
"66",1376,190803050402,50,2346.84,2346.84,"salc"
"67",1397,190803050403,50,7645.68,7645.68,"salc"
"68",1418,190803050404,50,1756.44,1756.44,"salc"
"69",1439,190803050405,50,3335.76,3335.76,"salc"
"70",1460,190803050406,50,2656.8,2656.8,"salc"
"71",1481,190803050407,50,3675.24,3675.24,"salc"
"72",1502,190803050501,50,16413.12,16413.12,"salc"
"73",1523,190803050502,50,21815.28,21815.28,"salc"
"74",1544,190803050503,50,67276.08,67276.08,"salc"
"75",1565,190803050504,50,3896.64,3896.64,"salc"
"76",1586,190803050505,50,19025.64,19025.64,"salc"
"77",1607,190803050601,50,9121.68,9121.68,"salc"
"78",1628,190803050602,50,42287.4,34080.84,"salc"
"79",1649,190803050603,50,18169.56,18169.56,"salc"
"80",1670,190803050604,50,2583,2583,"salc"
"81",1691,190803050605,50,40575.24,40575.24,"salc"
"82",1712,190803050606,50,22538.52,22538.52,"salc"
"83",1733,190803050607,50,4177.08,4177.08,"salc"
"84",1754,190803050608,50,44678.52,44678.52,"salc"
"85",1775,190803050701,50,31497.84,31497.84,"salc"
"86",1796,190803050702,50,10302.48,10302.48,"salc"
"87",1817,190803050703,50,20191.68,20191.68,"salc"
"88",1838,190803050704,50,37756.08,37756.08,"salc"
"89",1859,190803050801,50,23217.48,13387.32,"salc"
"90",1880,190803050802,50,17431.56,17431.56,"salc"
"91",1901,190803050803,50,13018.32,13018.32,"salc"
"92",1922,190803050804,50,30464.64,30464.64,"salc"
"93",1943,190803050805,50,16398.36,16398.36,"salc"
"94",1964,190803050806,50,14361.48,14361.48,"salc"
"95",1985,190803050807,50,19616.04,19616.04,"salc"
"96",2006,190803060101,50,797.04,797.04,"chen"
"97",2027,190803060102,50,2597.76,2597.76,"chen"
"98",2048,190803060103,50,2464.92,2464.92,"chen"
"99",2069,190803060104,50,2228.76,2228.76,"chen"
"100",2090,190803060105,50,7999.92,7999.92,"chen"
"101",2111,190803060201,50,30021.84,25032.96,"chen"
"102",2132,190803060202,50,63335.16,4649.4,"chen"
"103",2153,190803060203,50,21638.16,15999.84,"chen"
"104",2174,190803060204,50,18405.72,17283.96,"chen"
"105",2195,190803060301,50,33667.56,33357.6,"chen"
"106",2216,190803060302,50,13313.52,13313.52,"chen"
"107",2237,190803060303,50,26892.72,19557,"chen"
"108",2258,190803060304,50,33416.64,32914.8,"chen"
"109",2279,190803060305,50,50287.32,41564.16,"chen"
"110",2300,190803060401,50,324.72,324.72,"chen"
"111",2321,190803060402,50,3483.36,3483.36,"chen"
"112",2342,190803060403,50,4280.4,4280.4,"chen"
"113",2363,190803060404,50,782.28,782.28,"chen"
"114",2384,190803060405,50,1298.88,1298.88,"chen"
"115",2405,190803060406,50,177.12,177.12,"chen"
"116",2426,190803060407,50,4132.8,4132.8,"chen"
"117",2447,190803060408,50,2907.72,2907.72,"chen"
"118",2468,190803060409,50,19807.92,19807.92,"chen"
