OID_,Join_Count,TARGET_FID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Num_of_dam,Shape_Length,Shape_Area,Point_Count
1,5,1,{6BFEAC61-3F71-4015-89B4-442D171866F4},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29594.509999999998399,119.760000000000005,AK,190803060606,Fourmile Creek-Chena River,S,IT,190803060609,0.000000000000000,0.000000000000000,81912.799237400002312,1,323,17498.709999999999127,MB4R,911323,PNMB4R,18970,7/27/2019 0:00:00,Yes,Remote Sensing Derived, , ,0.000000000000000, ,Perimeter updated using Sentinel 2 image collected 7/27,51189,2019,7/29/2019 0:00:00,dmgriggs, ,9/30/2019 0:00:00,,{B178F7A8-013B-4E67-89E8-90EACEBEC4FA},N,2010 - 2019,2019.000000000000000,2010.000000000000000,57919.019438199997239,266.873264227999982,12.501174666600001,81912.799237400002312,0.000000000000000,81912.799237392493524,119764719.390886902809143,4
2,4,2,{C128E74A-B7FF-473E-96B5-563CBB9F27BD},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,31085.669999999998254,125.799999999999997,AK,190803060304,Lohi Creek-Middle Fork Chena River,S,NM,190803060305,0.000000000000000,0.000000000000000,73067.112474199995631,1,235,50964.790000000000873,N3UW,111235,PNN3UW,54050,8/5/2021 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Perimeter updated using Sentinel-2 imagery.,68032,2021,8/6/2021 0:00:00,jljenkins, ,9/27/2021 0:00:00,,{D801B0C1-8B9C-4B60-A450-2496BEF3F70A},N,2020 - 2029,2021.000000000000000,2020.000000000000000,237825.033522999990964,523.094845027000019,26.311382974899999,73067.112474199995631,0.000000000000000,73067.112474240784650,125799246.395939558744431,15
3,1,3,{55FF3275-2A78-4366-A4D0-C23F38F9EDE9},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,28318.590000000000146,114.599999999999994,AK,190803050604,190803050604-Salcha River,M,NM,190803050608,0.000000000000000,0.000000000000000,67490.582594099993003,1,679,1436.480000000000018,HU4Q,311679,PNHU4Q, ,8/13/2013 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,36878,2013,8/14/2013 0:00:00,Fire Upload Test,No,9/24/2013 0:00:00,, ,N,2010 - 2019,2013.000000000000000,2010.000000000000000,11121.528507099999842,535.441838217000054,26.047272330100000,67490.582594099993003,0.000000000000000,67490.582594070481719,114601290.878589406609535,14
4,0,4,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,0.000000000000000,83734.891660655834130,121013273.751125007867813,1
5,0,5,{6E1D054F-1D2D-4244-8661-9E5E859EB1C1},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,23479.380000000001019,95.019999999999996,AK,190803090804,Minto Lakes South,S,IT,190803090805,0.000000000000000,0.000000000000000,44329.509033499998623,0, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,44329.509033499998623,0.000000000000000,44329.509033500929945,95017740.462252348661423,0
6,3,6,{8F31D4E1-653D-474C-A95A-B562E2D11F18},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,36537.919999999998254,147.860000000000014,AK,190803090406,Washington Creek,S,NM,190803091010,0.000000000000000,0.000000000000000,68329.482941399997799,0,531,12850.020000000000437,E37N,911531,PNE37N, ,8/10/2009 0:00:00,Yes,Not Recorded, , ,12850.000000000000000,GIS,"Provided by IMT, Greg spoke with Lynn and requested our assitance in uploading data.",32737,2009,8/11/2009 0:00:00,ilmakfsdspcblack,No,9/14/2009 0:00:00,, ,N,2000 - 2009,2009.000000000000000,2000.000000000000000,59539.407560799998464,0.000000000000000,0.000000000000000,68329.482941399997799,0.000000000000000,68329.482941356036463,147863752.051045656204224,0
7,1,7,{E1242AE0-0B4C-4F07-B62A-EBA6E43E428D},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,25076.490000000001601,101.480000000000004,AK,190803090702,Big Eldorado Creek-Goldstream Creek,S,NM,190803090703,0.000000000000000,0.000000000000000,57745.722830099999555,0, ,2965.530000000000200,25, , , ,11/1/1958 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,Fire perimeter imported from fire history.,27390,1958,9/25/2007 0:00:00,jhrobak,No,6/19/1958 0:00:00,, ,N,1950 - 1959,1958.000000000000000,1950.000000000000000,13392.518302200000107,0.000000000000000,0.000000000000000,57745.722830099999555,0.000000000000000,57745.722830105420144,101480978.866902083158493,0
8,5,8,{144DCA18-7031-4096-AE22-07C81896A980},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,30985.819999999999709,125.400000000000006,AK,190803060907,Chena River,S,"IT,TF",190803071306,0.000000000000000,0.000000000000000,79198.699034300007042,0,347,3.570000000000000,N53V,111347,PNN53V,3.5,7/19/2021 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,This is a perimeter collected at 5pm via Collector app,68157,2021,7/19/2021 0:00:00,mstoeber, ,7/20/2021 0:00:00,,{3B017EE5-C34F-4CC9-9A1E-7A44376889C7},N,2020 - 2029,2021.000000000000000,2020.000000000000000,583.015245445000005,0.000000000000000,0.000000000000000,79198.699034300007042,0.000000000000000,79198.699034341334482,125395017.619114413857460,0
9,4,9,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,196,927.259999999999991,N2V9,111196,PNN2V9,927,6/16/2021 0:00:00,Yes,Mixed Methods, , ,0.000000000000000, ,"End of burn period, perimeter updated by IMT.",67994,2021,6/30/2021 0:00:00,jljenkins, ,9/27/2021 0:00:00,,{9D3DCD61-73ED-45FD-9004-D7A6D2A7008E},N,2020 - 2029,2021.000000000000000,2020.000000000000000,20831.476819499999692,0.000000000000000,0.000000000000000,45149.785570699998061,0.000000000000000,45149.785570694759372,106444774.259210720658302,23
10,2,10,{E4183E04-E2E8-4906-9381-DDA1EFF89F0E},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,11881.360000000000582,48.079999999999998,AK,190803060703,Fairbanks Creek,S,NM,190803060705,0.000000000000000,0.000000000000000,34721.153334299997368,0,193,538651.479999999981374,A4SZ,411193,PNA4SZ,537627,9/1/2004 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,1679,2004,3/14/2019 0:00:00,jljenkins, ,11/19/2004 0:00:00,, ,N,2000 - 2009,2004.000000000000000,2000.000000000000000,678469.607755000004545,0.000000000000000,0.000000000000000,34721.153334299997368,0.000000000000000,34721.153334291164356,48082152.405631922185421,0
11,3,11,{E93A6837-2253-4D38-BA03-BBE452A6E184},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10337.620000000000800,41.829999999999998,AK,190803060704,Miller Creek,S,NM,190803060705,0.000000000000000,0.000000000000000,29019.973321099998429,1,193,538651.479999999981374,A4SZ,411193,PNA4SZ,537627,9/1/2004 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,1679,2004,3/14/2019 0:00:00,jljenkins, ,11/19/2004 0:00:00,, ,N,2000 - 2009,2004.000000000000000,2000.000000000000000,678469.607755000004545,0.000000000000000,0.000000000000000,29019.973321099998429,0.000000000000000,29019.973321056826535,41834853.532262675464153,2
12,1,12,{A635489D-8322-46A0-A924-3C9FF617F134},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,13488.049999999999272,54.579999999999998,AK,190803090506,Flat Creek,S,NM,190803090507,0.000000000000000,0.000000000000000,39730.016222400001425,1,193,538651.479999999981374,A4SZ,411193,PNA4SZ,537627,9/1/2004 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,1679,2004,3/14/2019 0:00:00,jljenkins, ,11/19/2004 0:00:00,, ,N,2000 - 2009,2004.000000000000000,2000.000000000000000,678469.607755000004545,0.000000000000000,0.000000000000000,39730.016222400001425,0.000000000000000,39730.016222416481469,54584211.225852787494659,12
13,3,13,{1D111400-D8CE-4B8E-B02B-9F23B7A6FA56},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,23918.409999999999854,96.790000000000006,AK,190803060408,Angel Creek,M,IT,190803060409,0.000000000000000,0.000000000000000,44903.175671600001806,1,292,139.289999999999992, ,111292, , ,6/4/2011 0:00:00,Yes,Digitized,DRG63,B - Within 90 Meters,0.000000000000000, ,Intel from a Fairbanks Area flight.,34988,2011,6/8/2011 0:00:00,hrigby,No,6/27/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,4115.251621979999982,0.000000000000000,0.000000000000000,44903.175671600001806,0.000000000000000,44903.175671637320193,96794365.966533511877060,4
14,7,14,{09AF6971-3B14-45BD-AB4E-6E4E4F16AE35},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,28048.529999999998836,113.510000000000005,AK,190803060405,Frozenfoot Creek,S,NM,190803060407,0.000000000000000,0.000000000000000,54389.478139300001203,1,613,231.409999999999997,JT7T,511613, ,231,6/28/2015 0:00:00,Yes,GPS,Foot, ,231.400000000000006, ,"Collected by DIVS Chris Moore, walked on foot.",38443,2015,7/3/2015 0:00:00,jljenkins,No,9/1/2015 0:00:00,,28BB1D07-9C81-494C-BF40-E86F300E06DA,N,2010 - 2019,2015.000000000000000,2010.000000000000000,4606.093338820000099,0.000000000000000,0.000000000000000,54389.478139300001203,0.000000000000000,54389.478139323924552,113508363.550166830420494,1
15,5,15,{54FAE1A0-61DB-468C-8E6E-A14AF3DD5DEE},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,15680.639999999999418,63.460000000000001,AK,190803060506,Marten Creek,S,NM,190803060507,0.000000000000000,0.000000000000000,36876.728014100001019,1,323,17498.709999999999127,MB4R,911323,PNMB4R,18970,7/27/2019 0:00:00,Yes,Remote Sensing Derived, , ,0.000000000000000, ,Perimeter updated using Sentinel 2 image collected 7/27,51189,2019,7/29/2019 0:00:00,dmgriggs, ,9/30/2019 0:00:00,,{B178F7A8-013B-4E67-89E8-90EACEBEC4FA},N,2010 - 2019,2019.000000000000000,2010.000000000000000,57919.019438199997239,0.000000000000000,0.000000000000000,36876.728014100001019,0.000000000000000,36876.728014108026400,63457279.286271624267101,10
